                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.16243,                0.35012,                0.03446,                0.90791,                0.88474,                0.96297,                0.91428,                0.12619,                0.38922,                0.02733,              0.0015515,              0.0015515,              0.0015515
                     38,                0.15781,                0.34008,                0.03264,                0.89626,                 0.8874,                0.96041,                0.90116,                0.14172,                0.37702,                0.03034,              0.0015482,              0.0015482,              0.0015482
                     39,                0.16313,                0.34593,                0.03397,                0.91354,                0.85109,                0.93986,                0.87431,                0.15077,                0.45874,                0.03364,              0.0015449,              0.0015449,              0.0015449
                     40,                0.16396,                0.35007,                0.03348,                 0.8876,                0.88181,                0.95285,                0.89309,                0.14556,                0.40069,                0.03183,              0.0015416,              0.0015416,              0.0015416
                     41,                0.15674,                0.33775,                0.03162,                0.91109,                0.89087,                0.96015,                0.90587,                0.13493,                0.37589,                0.02908,              0.0015383,              0.0015383,              0.0015383
                     42,                0.15446,                0.32878,                 0.0333,                0.90188,                 0.8896,                0.96084,                0.89779,                0.14873,                0.37921,                0.03175,               0.001535,               0.001535,               0.001535
                     43,                0.15477,                0.33255,                0.03216,                0.90344,                0.89066,                0.96155,                0.90167,                0.14468,                0.38636,                0.03167,              0.0015317,              0.0015317,              0.0015317
                     44,                0.15694,                0.32933,                0.03298,                0.90416,                0.89531,                 0.9625,                0.90833,                0.12636,                0.37256,                0.02591,              0.0015284,              0.0015284,              0.0015284
                     45,                0.14861,                0.32317,                 0.0301,                 0.9191,                0.88249,                0.96308,                0.89853,                0.15572,                 0.3877,                0.03347,              0.0015251,              0.0015251,              0.0015251
                     46,                0.15598,                0.33977,                0.03255,                0.90406,                0.88199,                0.96006,                0.90649,                0.13312,                0.39051,                0.03061,              0.0015218,              0.0015218,              0.0015218
                     47,                0.15523,                0.33716,                0.03257,                 0.8886,                0.88942,                0.95863,                0.90286,                0.13275,                0.38356,                 0.0284,              0.0015185,              0.0015185,              0.0015185
                     48,                0.18522,                0.35946,                 0.0389,                0.90924,                0.89082,                0.96215,                0.90833,                0.13059,                0.35596,                0.02887,              0.0015152,              0.0015152,              0.0015152
                     49,                0.18328,                0.34418,                0.04163,                    nan,                0.93834,                0.91193,                0.85578,                    nan,                    nan,                    nan,              0.0015119,              0.0015119,              0.0015119
                     50,                0.16741,                0.33604,                0.03795,                    nan,                0.82872,                0.81133,                0.76869,                    nan,                    nan,                    nan,              0.0015086,              0.0015086,              0.0015086
                     51,                0.16191,                0.33097,                0.03702,                0.90039,                0.86852,                0.96111,                0.91176,                0.12927,                0.35787,                0.02799,              0.0015053,              0.0015053,              0.0015053
                     52,                0.16102,                0.33301,                0.03426,                 0.9031,                0.88037,                0.95975,                0.90519,                0.13735,                0.37403,                0.03064,               0.001502,               0.001502,               0.001502
                     53,                0.15533,                0.32535,                0.03242,                    nan,                0.98361,                0.95132,                0.90208,                    nan,                    nan,                    nan,              0.0014987,              0.0014987,              0.0014987
                     54,                0.15564,                0.32651,                0.03276,                    nan,                0.98198,                0.95005,                0.90024,                    nan,                    nan,                    nan,              0.0014954,              0.0014954,              0.0014954
                     55,                0.14609,                0.30952,                0.03086,                0.88735,                 0.8929,                0.96026,                0.91064,                0.12699,                0.36063,                0.02649,              0.0014921,              0.0014921,              0.0014921
                     56,                0.15784,                 0.3291,                0.03204,                0.89597,                0.89394,                0.96106,                0.90946,                0.13688,                0.37344,                0.03192,              0.0014888,              0.0014888,              0.0014888
                     57,                0.15491,                 0.3266,                0.03177,                0.90106,                0.89004,                0.96295,                0.91212,                0.13311,                0.37136,                0.02943,              0.0014855,              0.0014855,              0.0014855
                     58,                0.15782,                0.32899,                0.03331,                0.90789,                0.88079,                0.96151,                0.89696,                0.14671,                 0.3786,                0.03201,              0.0014822,              0.0014822,              0.0014822
                     59,                0.15362,                0.32244,                0.03102,                0.90984,                0.88287,                0.95816,                0.90951,                 0.1323,                0.35602,                0.03051,              0.0014789,              0.0014789,              0.0014789
                     60,                0.14903,                0.31582,                0.03126,                0.90767,                0.89259,                0.96461,                0.91223,                0.12611,                0.37166,                0.02548,              0.0014756,              0.0014756,              0.0014756
                     61,                0.15046,                0.32358,                0.03109,                0.89035,                0.89705,                0.95889,                 0.9058,                0.13968,                0.38831,                0.02891,              0.0014723,              0.0014723,              0.0014723
                     62,                0.14104,                0.32252,                0.02758,                0.89438,                0.89427,                0.96135,                0.91148,                0.14028,                0.38184,                0.03332,               0.001469,               0.001469,               0.001469
                     63,                0.14709,                0.33361,                0.03039,                0.90187,                0.88901,                0.96314,                0.91308,                0.13112,                0.38099,                0.02836,              0.0014657,              0.0014657,              0.0014657
                     64,                0.15504,                0.33629,                  0.033,                0.89515,                0.87907,                0.95063,                0.89799,                0.14946,                0.38356,                0.03485,              0.0014624,              0.0014624,              0.0014624
                     65,                0.16237,                 0.3469,                0.03569,                0.88673,                0.87594,                0.94769,                0.88824,                 0.1491,                0.42057,                0.03375,              0.0014591,              0.0014591,              0.0014591
                     66,                0.15279,                0.33079,                0.03301,                 0.8917,                0.86167,                0.94507,                0.88679,                0.15237,                0.39916,                0.03494,              0.0014558,              0.0014558,              0.0014558
                     67,                0.15654,                0.33139,                0.03291,                0.91355,                0.87189,                 0.9601,                0.90508,                0.13577,                 0.3674,                0.02849,              0.0014525,              0.0014525,              0.0014525
                     68,                0.14856,                0.32055,                0.03146,                0.91333,                0.86441,                0.95801,                0.90661,                0.12966,                0.38632,                0.02721,              0.0014492,              0.0014492,              0.0014492
                     69,                0.14543,                0.30787,                0.03058,                0.89675,                0.87586,                0.95801,                  0.909,                0.13489,                 0.3752,                0.03104,              0.0014459,              0.0014459,              0.0014459
                     70,                0.14209,                0.31478,                0.02804,                0.90242,                0.88681,                0.96162,                0.91106,                0.13152,                0.35682,                0.02799,              0.0014426,              0.0014426,              0.0014426
                     71,                0.14683,                0.32788,                0.02895,                 0.9017,                 0.8839,                0.96241,                0.90551,                0.13718,                0.36529,                 0.0287,              0.0014393,              0.0014393,              0.0014393
                     72,                0.14261,                  0.319,                0.02788,                0.90651,                0.88269,                0.96364,                0.90675,                0.13485,                 0.3673,                 0.0288,               0.001436,               0.001436,               0.001436
                     73,                0.14508,                0.31828,                0.02988,                0.90472,                0.88856,                 0.9619,                0.91178,                0.12796,                0.36066,                0.02781,              0.0014327,              0.0014327,              0.0014327
                     74,                0.15054,                0.31932,                0.03018,                0.90237,                0.88585,                  0.962,                0.91396,                0.12439,                   0.36,                0.02657,              0.0014294,              0.0014294,              0.0014294
                     75,                0.14176,                0.32499,                0.02731,                0.90477,                0.88766,                0.96046,                0.91056,                0.12879,                0.37252,                0.02937,              0.0014261,              0.0014261,              0.0014261
                     76,                0.14494,                0.31579,                0.02904,                0.89464,                0.89506,                0.96345,                0.91606,                 0.1244,                0.35488,                0.02698,              0.0014228,              0.0014228,              0.0014228
                     77,                0.15679,                0.31877,                0.03164,                0.90728,                0.88123,                0.96238,                0.90715,                0.13534,                0.36916,                0.02956,              0.0014195,              0.0014195,              0.0014195
                     78,                0.14273,                 0.3152,                0.02801,                0.91381,                0.87866,                0.96395,                0.90626,                0.13609,                0.36365,                0.02826,              0.0014161,              0.0014161,              0.0014161
                     79,                0.13374,                0.31753,                0.02686,                0.89328,                0.89035,                0.96239,                0.91289,                0.12636,                0.37335,                0.02742,              0.0014128,              0.0014128,              0.0014128
                     80,                0.14927,                0.33736,                0.03025,                 0.8855,                0.90119,                 0.9599,                0.90849,                0.13614,                0.35094,                0.03018,              0.0014095,              0.0014095,              0.0014095
                     81,                0.14818,                0.31836,                0.03038,                0.90751,                0.88005,                0.96226,                0.90476,                0.13892,                0.38424,                0.02957,              0.0014062,              0.0014062,              0.0014062
                     82,                0.14519,                0.31654,                0.02935,                0.90903,                 0.8801,                0.96011,                0.90035,                0.14054,                0.37941,                0.02956,              0.0014029,              0.0014029,              0.0014029
                     83,                0.14281,                0.32073,                0.02952,                0.88309,                0.89832,                0.95978,                0.90624,                0.13322,                0.38179,                0.02784,              0.0013996,              0.0013996,              0.0013996
                     84,                0.14229,                0.31088,                0.02888,                0.89424,                0.89919,                0.96325,                0.91065,                0.13136,                0.37626,                0.02847,              0.0013963,              0.0013963,              0.0013963
                     85,                0.13728,                0.31057,                0.02644,                0.88975,                0.89647,                0.96358,                0.91373,                0.12597,                0.39602,                0.02685,               0.001393,               0.001393,               0.001393
                     86,                0.14391,                0.33153,                0.02919,                0.88858,                0.90227,                0.96169,                 0.9117,                0.13263,                0.38343,                 0.0301,              0.0013897,              0.0013897,              0.0013897
                     87,                0.13866,                 0.3129,                0.02712,                0.90553,                 0.8768,                0.95931,                0.91093,                0.12766,                0.36769,                0.02802,              0.0013864,              0.0013864,              0.0013864
                     88,                0.13514,                0.31363,                0.02646,                 0.8954,                  0.895,                0.96384,                0.91694,                0.12383,                0.38017,                 0.0268,              0.0013831,              0.0013831,              0.0013831
                     89,                0.14583,                0.31688,                0.02806,                0.90599,                0.88563,                0.96362,                0.91566,                0.12531,                0.39134,                0.02624,              0.0013798,              0.0013798,              0.0013798
                     90,                0.14015,                0.30825,                 0.0277,                0.88918,                0.89373,                0.96224,                0.91334,                0.12378,                 0.3914,                0.02726,              0.0013765,              0.0013765,              0.0013765
                     91,                0.13881,                0.31313,                0.02729,                0.91327,                0.87957,                0.96307,                0.91779,                0.12366,                0.37274,                0.02633,              0.0013732,              0.0013732,              0.0013732
                     92,                0.13701,                0.30888,                0.02747,                0.89539,                0.88918,                0.96102,                0.91401,                0.12535,                0.38741,                0.02654,              0.0013699,              0.0013699,              0.0013699
                     93,                0.14132,                0.31045,                0.02876,                0.90699,                0.88411,                0.96173,                 0.9027,                0.13843,                 0.3746,                0.02903,              0.0013666,              0.0013666,              0.0013666
                     94,                0.13702,                0.30946,                 0.0266,                0.88173,                0.89792,                0.95788,                0.90783,                0.12959,                0.36986,                0.02842,              0.0013633,              0.0013633,              0.0013633
                     95,                0.14294,                0.31355,                0.02782,                0.90351,                0.88864,                 0.9617,                0.90398,                 0.1401,                0.38136,                0.02815,                0.00136,                0.00136,                0.00136
                     96,                0.14334,                0.32034,                0.02854,                0.88967,                0.89304,                0.95857,                0.90331,                0.13751,                0.39469,                0.03145,              0.0013567,              0.0013567,              0.0013567
                     97,                0.14269,                0.32183,                0.02943,                0.89362,                 0.8874,                0.96044,                0.90803,                0.12803,                0.38484,                0.02628,              0.0013534,              0.0013534,              0.0013534
                     98,                0.13998,                 0.3096,                0.02914,                0.89843,                 0.8972,                0.96188,                0.91429,                0.12696,                0.34997,                0.02785,              0.0013501,              0.0013501,              0.0013501
                     99,                0.14643,                0.32475,                0.02922,                0.88714,                0.88006,                0.95225,                  0.902,                0.13452,                 0.3868,                0.03034,              0.0013468,              0.0013468,              0.0013468
                    100,                 0.1499,                0.32759,                0.02979,                0.88847,                0.89816,                 0.9602,                 0.9017,                0.14113,                0.37679,                0.03027,              0.0013435,              0.0013435,              0.0013435
                    101,                0.14151,                0.30946,                0.02824,                0.90341,                0.88812,                0.96211,                0.90907,                0.13611,                0.37427,                0.02994,              0.0013402,              0.0013402,              0.0013402
                    102,                0.14066,                0.30769,                0.02829,                 0.9114,                0.88898,                0.96465,                0.90814,                 0.1342,                0.37934,                0.02826,              0.0013369,              0.0013369,              0.0013369
                    103,                0.14254,                0.31664,                0.02853,                0.91162,                0.88397,                 0.9639,                0.91528,                0.12318,                0.36869,                0.02689,              0.0013336,              0.0013336,              0.0013336
                    104,                0.14629,                0.31416,                0.02921,                0.89507,                0.87233,                0.94817,                0.89731,                0.16817,                0.37586,                0.03878,              0.0013303,              0.0013303,              0.0013303
                    105,                0.14647,                0.31742,                0.03051,                0.89955,                0.88732,                0.95603,                0.90686,                0.16764,                0.34281,                0.04147,               0.001327,               0.001327,               0.001327
                    106,                0.14625,                0.32229,                0.02947,                0.89405,                0.88585,                0.95901,                0.91308,                0.13905,                0.35994,                0.02937,              0.0013237,              0.0013237,              0.0013237
                    107,                0.13764,                0.31035,                0.02715,                0.91172,                0.85891,                0.93755,                 0.8793,                0.25755,                0.35361,                0.07603,              0.0013204,              0.0013204,              0.0013204
                    108,                0.14568,                0.31846,                0.02883,                0.89224,                 0.8976,                0.96218,                0.90958,                0.12966,                0.36183,                0.02617,              0.0013171,              0.0013171,              0.0013171
                    109,                0.13853,                0.31113,                0.02783,                0.89249,                0.89686,                0.95855,                0.90693,                0.13357,                0.36932,                0.03048,              0.0013138,              0.0013138,              0.0013138
                    110,                0.13726,                0.31313,                0.02762,                0.89813,                0.89482,                 0.9627,                0.91247,                0.13093,                0.37132,                0.02912,              0.0013105,              0.0013105,              0.0013105
                    111,                0.14216,                0.33422,                0.02787,                0.87984,                0.89714,                0.95664,                 0.8904,                0.14847,                0.37648,                0.03123,              0.0013072,              0.0013072,              0.0013072
                    112,                0.14092,                0.32771,                 0.0278,                0.86772,                0.90927,                0.95957,                0.90592,                0.12948,                0.36407,                0.02847,              0.0013039,              0.0013039,              0.0013039
                    113,                  0.134,                0.31211,                 0.0277,                0.90578,                 0.8777,                0.95998,                0.90891,                0.12557,                0.37574,                 0.0268,              0.0013006,              0.0013006,              0.0013006
                    114,                 0.1375,                0.31342,                0.02727,                0.90447,                0.88245,                0.96109,                0.90084,                0.13777,                0.38269,                0.02795,              0.0012973,              0.0012973,              0.0012973
                    115,                 0.1409,                0.32744,                0.02864,                0.87457,                0.90365,                0.96287,                0.90667,                0.13455,                0.40779,                0.02788,               0.001294,               0.001294,               0.001294
                    116,                0.14721,                 0.3379,                0.02807,                0.89836,                0.88904,                0.96064,                0.90125,                   0.14,                0.38151,                0.03136,              0.0012907,              0.0012907,              0.0012907
                    117,                0.13894,                0.30979,                0.02838,                0.89005,                0.89417,                0.95982,                0.90895,                 0.1303,                 0.3657,                0.02823,              0.0012874,              0.0012874,              0.0012874
                    118,                0.13526,                0.31358,                0.02609,                0.89433,                0.89086,                0.96188,                0.90966,                0.12824,                0.36738,                0.02818,              0.0012841,              0.0012841,              0.0012841
                    119,                0.13281,                0.30048,                0.02684,                0.91753,                0.87161,                0.96216,                0.91554,                0.12742,                0.36775,                0.02767,              0.0012808,              0.0012808,              0.0012808
                    120,                0.13706,                0.29838,                0.02813,                0.90712,                0.88016,                 0.9636,                0.91865,                0.12071,                0.36624,                0.02615,              0.0012775,              0.0012775,              0.0012775
                    121,                0.13634,                0.31186,                0.02604,                0.88651,                0.89864,                0.96281,                0.91827,                0.11868,                0.38367,                 0.0255,              0.0012742,              0.0012742,              0.0012742
                    122,                0.13968,                0.31616,                0.02724,                0.89906,                0.87912,                0.95874,                0.90586,                0.13522,                0.37824,                0.02834,              0.0012709,              0.0012709,              0.0012709
                    123,                0.13032,                0.29705,                0.02553,                0.89532,                0.89532,                0.96263,                0.91093,                0.12871,                0.38451,                0.02607,              0.0012676,              0.0012676,              0.0012676
                    124,                0.13785,                0.30497,                0.02564,                 0.8907,                 0.8944,                0.96236,                0.91293,                0.12752,                0.37412,                0.02757,              0.0012643,              0.0012643,              0.0012643
                    125,                0.13531,                0.32574,                0.02502,                0.89637,                0.89234,                0.96142,                0.90122,                0.13684,                0.43422,                0.02913,               0.001261,               0.001261,               0.001261
                    126,                0.13663,                0.33437,                0.02655,                0.89901,                  0.885,                  0.963,                0.90103,                0.14169,                0.38695,                0.03243,              0.0012577,              0.0012577,              0.0012577
                    127,                0.13534,                0.30573,                0.02688,                0.91056,                 0.8812,                0.96344,                0.91221,                0.11982,                0.35207,                0.02461,              0.0012544,              0.0012544,              0.0012544
                    128,                0.13358,                0.30332,                0.02501,                0.90186,                0.88094,                0.96111,                0.91003,                0.12742,                0.37488,                0.02573,              0.0012511,              0.0012511,              0.0012511
                    129,                0.13362,                0.30941,                0.02559,                0.90037,                0.88716,                0.96195,                0.90553,                0.12802,                 0.3841,                0.02582,              0.0012478,              0.0012478,              0.0012478
                    130,                0.12812,                0.29884,                0.02544,                 0.9065,                0.87152,                0.96146,                0.91436,                0.12441,                0.36699,                0.02672,              0.0012445,              0.0012445,              0.0012445
                    131,                0.13335,                0.30496,                0.02569,                0.89665,                 0.8779,                0.96069,                0.90647,                0.13208,                0.38385,                0.02574,              0.0012412,              0.0012412,              0.0012412
                    132,                0.13013,                0.30191,                0.02568,                0.88757,                0.89974,                  0.961,                0.91022,                0.12766,                0.36879,                0.02705,              0.0012379,              0.0012379,              0.0012379
                    133,                0.13974,                0.30968,                0.02719,                0.88402,                0.89747,                0.96014,                0.90487,                0.13877,                0.38313,                0.03132,              0.0012346,              0.0012346,              0.0012346
                    134,                0.13478,                 0.3182,                0.02598,                0.90022,                0.89417,                0.96228,                0.90109,                 0.1378,                0.36301,                0.02816,              0.0012313,              0.0012313,              0.0012313
                    135,                0.13683,                0.30612,                0.02763,                 0.9113,                0.87778,                0.96205,                0.90136,                0.14225,                0.37972,                0.03101,               0.001228,               0.001228,               0.001228
                    136,                0.13563,                0.30972,                0.02628,                 0.9105,                0.87897,                 0.9624,                 0.9096,                0.12831,                0.37567,                0.02701,              0.0012247,              0.0012247,              0.0012247
                    137,                0.13388,                0.30837,                0.02559,                0.92248,                0.87324,                0.96142,                0.90822,                0.13308,                0.37747,                0.02855,              0.0012214,              0.0012214,              0.0012214
                    138,                0.13903,                0.31466,                0.02723,                 0.9049,                0.87613,                0.95919,                0.91214,                0.11898,                0.36779,                0.02537,              0.0012181,              0.0012181,              0.0012181
                    139,                0.14326,                0.42094,                0.02885,                0.84602,                0.86174,                0.93187,                0.86527,                0.14756,                0.45631,                0.03179,              0.0012148,              0.0012148,              0.0012148
                    140,                0.14436,                0.41357,                0.02948,                0.87675,                0.89378,                0.95376,                0.88985,                0.13795,                0.41212,                0.02948,              0.0012115,              0.0012115,              0.0012115
                    141,                0.16218,                0.37028,                0.03507,                0.88468,                0.89173,                 0.9585,                  0.902,                0.14362,                0.38305,                 0.0324,              0.0012082,              0.0012082,              0.0012082
                    142,                0.14898,                0.34424,                  0.032,                0.90571,                0.88548,                0.96059,                 0.9006,                0.13791,                  0.371,                0.02861,              0.0012049,              0.0012049,              0.0012049
                    143,                0.14395,                0.33142,                0.02984,                0.90906,                 0.8779,                 0.9599,                0.90824,                0.13676,                0.36081,                0.03008,              0.0012016,              0.0012016,              0.0012016
                    144,                0.14089,                0.33214,                 0.0282,                0.89011,                 0.8863,                0.96237,                0.90988,                 0.1299,                0.36377,                0.02718,              0.0011983,              0.0011983,              0.0011983
                    145,                0.13623,                0.31382,                0.02824,                0.89801,                0.88367,                  0.956,                0.90236,                0.14515,                0.36834,                0.03282,               0.001195,               0.001195,               0.001195
                    146,                0.14556,                0.32454,                0.02971,                0.88913,                0.87276,                0.95604,                0.89993,                0.14525,                0.39275,                0.02975,              0.0011917,              0.0011917,              0.0011917
                    147,                0.14599,                0.32562,                0.02905,                 0.9184,                0.87946,                0.96553,                0.91174,                 0.1303,                0.37924,                0.02692,              0.0011884,              0.0011884,              0.0011884
                    148,                0.13971,                0.30943,                 0.0288,                0.92047,                0.87449,                0.96262,                0.91224,                0.12751,                0.38465,                0.02775,              0.0011851,              0.0011851,              0.0011851
                    149,                0.13475,                0.31138,                0.02718,                0.91305,                0.87274,                0.96216,                 0.9117,                0.12271,                0.37388,                0.02646,              0.0011818,              0.0011818,              0.0011818
                    150,                0.14191,                0.31344,                0.02849,                0.89076,                0.89251,                0.96299,                0.90963,                0.13305,                0.36524,                0.02998,              0.0011785,              0.0011785,              0.0011785
                    151,                0.13877,                0.30533,                0.02803,                0.90344,                0.87854,                0.96109,                0.90841,                0.13038,                0.37423,                0.02997,              0.0011752,              0.0011752,              0.0011752
                    152,                0.13999,                0.31242,                0.02729,                0.90214,                0.87577,                0.95652,                0.90344,                0.12884,                0.37511,                0.02835,              0.0011719,              0.0011719,              0.0011719
                    153,                0.14367,                0.31761,                0.02841,                0.89261,                0.88993,                0.95821,                0.90431,                0.13152,                0.37614,                0.02848,              0.0011686,              0.0011686,              0.0011686
                    154,                0.13691,                0.31749,                0.02615,                0.89141,                  0.893,                0.96001,                0.90707,                0.13613,                0.37246,                0.03052,              0.0011653,              0.0011653,              0.0011653
                    155,                0.13282,                0.31583,                0.02626,                0.90345,                0.88129,                0.95889,                0.91262,                0.12064,                0.39152,                0.02692,               0.001162,               0.001162,               0.001162
                    156,                0.13194,                0.30387,                0.02587,                0.89348,                0.88929,                0.95855,                0.90966,                0.12834,                0.36833,                0.02883,              0.0011587,              0.0011587,              0.0011587
                    157,                0.13783,                 0.3036,                 0.0272,                0.89743,                0.88068,                0.96047,                0.91235,                0.11864,                0.36397,                 0.0259,              0.0011554,              0.0011554,              0.0011554
                    158,                0.13662,                0.32129,                 0.0276,                0.90203,                0.88502,                0.96236,                0.90877,                0.12674,                0.38088,                0.02769,              0.0011521,              0.0011521,              0.0011521
                    159,                0.12913,                0.30847,                0.02449,                0.92333,                0.85982,                0.96308,                0.91185,                0.12666,                0.38045,                0.02705,              0.0011488,              0.0011488,              0.0011488
                    160,                0.13369,                 0.3049,                 0.0277,                0.89027,                0.88464,                0.95923,                0.91021,                0.12107,                0.38961,                0.02492,              0.0011455,              0.0011455,              0.0011455
                    161,                0.13897,                0.31289,                0.02828,                0.90867,                0.88255,                0.95825,                0.90585,                0.13123,                0.36397,                0.02767,              0.0011422,              0.0011422,              0.0011422
