,SEG_Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ],SEG_Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=150 ],SEG_Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=150 ],SEG_Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=150 ],SEG_Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=150 ],SEG_Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=150 ],SEG_Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=50 ],SEG_Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ],SEG_Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=150 ],SEG_Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=150 ],SEG_Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=150 ],SEG_Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=150 ],DET_Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ],DET_Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=150 ],DET_Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=150 ],DET_Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=150 ],DET_Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=150 ],DET_Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=150 ],DET_Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=50 ],DET_Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ],DET_Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=150 ],DET_Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=150 ],DET_Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=150 ],DET_Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=150 ],model_name,image_size
9,0.7205022142601424,0.8620847402881913,0.7972618604445549,0.34291448130691055,0.7210901367140404,0.8189851650862233,0.7012973502881042,0.7896413861442003,0.7942739740036251,0.6175213675213674,0.812687441748872,0.8480846829915427,0.7435431982067824,0.8566232132515919,0.803949104089359,0.4088053009867346,0.7615139594900516,0.8146375906356724,0.7116958120869743,0.8097515498381398,0.8153825402534753,0.7235042735042735,0.8558527965155444,0.8386476701122104,yolov8s-seg,640
10,,,,,,,,,,,,,0.2104017096422345,0.26847050514031845,0.24554467344805542,0.07322063485334167,0.2945387705759161,0.21668046786792242,0.29304503522840275,0.2956009457715338,0.2956009457715338,0.24059829059829058,0.3957173309217751,0.2199671107180366,rtdetr-l,640
11,,,,,,,,,,,,,0.8919616070168007,0.9445834370779171,0.9336779162222332,0.4494755911046329,0.8073450727954901,0.9842376265486777,0.8207640402287906,0.9236693255471158,0.9288610188378505,0.8487179487179486,0.8724187252576894,0.9880983638273173,rtdetr-l,1280
12,,,,,,,,,,,,,0.7267056106157519,0.8270208512633207,0.7804948271489237,0.3971053303652791,0.7442306730825234,0.802259219179664,0.7031425216342594,0.7971603051012418,0.8013935319383027,0.7196581196581197,0.8444424963319092,0.8245909568293628,yolov9c,640
13,,,,,,,,,,,,,0.8910153365196742,0.9483417630740957,0.9323531445116866,0.4316577446635329,0.81679947798122,0.9822687538486161,0.821726914640769,0.9222266007941379,0.9261004027110709,0.8055555555555556,0.8815571160962283,0.9859432867171523,rtdetr-x,1280
14,,,,,,,,,,,,,0.7024953281221065,0.7901575484883439,0.7565197303373904,0.4057195799455158,0.7551310258552025,0.7301102697922113,0.6852303422691464,0.7745856519194013,0.7795377285967177,0.7170940170940171,0.843394206723449,0.7591447404786911,yolov9e,640
15,,,,,,,,,,,,,0.8675774562248625,0.9176361747418428,0.9059380522226097,0.3943025925829208,0.8040089775843736,0.9836704501786455,0.811344145173462,0.8879415892629188,0.8883010141830466,0.5700854700854701,0.8446473557448302,0.9890919517992373,yolov9e,1280
16,,,,,,,,,,,,,0.872377874059358,0.9289077263183362,0.9123742716201189,0.44814344027678227,0.8075195843741826,0.9788926907036739,0.8152003152571778,0.897029388739606,0.8976683663753887,0.6679487179487179,0.8527157714064243,0.9837343154054503,yolov9c,1280
17,,,,,,,,,,,,,0.09990221267604737,0.1426886852085904,0.11669770408889746,0.07433038984999123,0.1035738151949078,0.08720025944386933,0.153378082926038,0.153378082926038,0.153378082926038,0.1829059829059829,0.16439368073306454,0.09022718478801613,rtdetr-x,640
19,,,,,,,,,,,,,0.8082444073142587,0.943583448291956,0.9050630793090926,0.3031079060747398,0.73184656584366,0.9329494386849504,0.7688410243389826,0.8436413438278005,0.8436413438278005,0.5837606837606837,0.784771655577805,0.9526629263169532,fasterrcnn_mobilenet_v3,1280
20,,,,,,,,,,,,,0.8075443876039848,0.9476144575444452,0.8929721436961531,0.2943532828291896,0.7337688227393154,0.936870278291402,0.7672995613199896,0.8422030270331267,0.8422030270331267,0.5811965811965811,0.7848874657414158,0.9535742910839644,fasterrcnn_efficientnet_b1,1280
21,0.8467940107400738,0.9487167370402202,0.9214582853571262,0.3713872346111349,0.7660534360390974,0.9712626609196332,0.7931816819358343,0.8760091579741729,0.8760091579741729,0.6576923076923077,0.815405520130667,0.9793992869382564,0.8469204639291228,0.9450250833423433,0.9212589492832935,0.3872467529365086,0.7696554638043163,0.9542090961393902,0.7950592958551086,0.881361212788016,0.881361212788016,0.6931623931623931,0.8257209298033533,0.9706400972859432,maskrcnn_resnet_50_RGBD,1280
22,0.8668644253415188,0.9450428493908828,0.9261328512942376,0.3976817889783154,0.7833098986332482,0.9767551143230184,0.8016880717121921,0.8961768896035658,0.8961768896035658,0.7346153846153846,0.8324951322819677,0.9847154662539384,0.8768760509365433,0.9442836925595646,0.9329564716190086,0.4006566564177742,0.7969874201007449,0.980246197261047,0.8101649281679114,0.9058518291263778,0.9058518291263778,0.7487179487179487,0.8476528832578183,0.9873673373500635,maskrcnn_resnet_50,1280
