                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.60128,                0.81006,                 0.4301,                0.86578,                0.91836,                0.89264,                0.95701,                0.86156,                0.91852,                0.89305,                0.95578,                0.79898,                0.55161,                0.67634,                 0.4909,                0.83088,              0.0015911,              0.0015911,              0.0015911
                     26,                 0.6166,                0.80677,                0.41999,                0.86272,                0.92213,                0.90166,                0.96331,                0.87085,                0.92213,                0.90166,                 0.9626,                0.79157,                0.50818,                0.66427,                0.45891,                0.82477,              0.0015878,              0.0015878,              0.0015878
                     27,                0.61154,                0.79426,                0.41792,                 0.8644,                0.92423,                0.90525,                0.96466,                0.86966,                0.92423,                0.90525,                0.96183,                0.79077,                0.52944,                0.66992,                 0.4069,                0.83042,              0.0015845,              0.0015845,              0.0015845
                     28,                0.60024,                0.77124,                0.40973,                0.86145,                0.93206,                0.88959,                0.96293,                0.87288,                0.93206,                0.88959,                0.96242,                0.79604,                0.53086,                0.66756,                0.39923,                0.82901,              0.0015812,              0.0015812,              0.0015812
                     29,                0.59991,                0.78305,                0.40224,                0.86097,                0.92932,                0.88579,                0.96305,                0.87141,                0.92785,                  0.886,                 0.9618,                0.78935,                0.53504,                0.64837,                0.39369,                 0.8249,              0.0015779,              0.0015779,              0.0015779
                     30,                0.61065,                0.81088,                0.39399,                0.86025,                0.94147,                 0.8897,                0.96273,                0.87368,                0.94061,                0.88889,                0.96079,                0.79572,                0.51595,                0.66034,                0.40588,                0.82414,              0.0015746,              0.0015746,              0.0015746
                     31,                0.60337,                0.78528,                0.39144,                0.86447,                0.94605,                0.88118,                0.96134,                0.87981,                0.94619,                0.88117,                0.95986,                0.81154,                 0.5007,                0.62791,                0.39343,                0.82218,              0.0015713,              0.0015713,              0.0015713
                     32,                 0.5904,                0.77134,                0.39293,                0.85801,                0.91688,                0.89195,                0.96225,                0.87225,                0.91923,                0.89422,                0.96261,                0.79915,                0.52929,                0.66878,                0.40623,                0.82481,               0.001568,               0.001568,               0.001568
                     33,                0.58903,                  0.797,                0.38896,                0.85816,                0.92846,                0.89622,                0.96404,                0.86199,                0.93084,                0.89209,                0.96155,                 0.7932,                0.57505,                0.66521,                0.40203,                0.83556,              0.0015647,              0.0015647,              0.0015647
                     34,                 0.5999,                0.80241,                0.38606,                0.85852,                0.92489,                0.89086,                0.96262,                0.88265,                0.92431,                0.89074,                0.96142,                0.80578,                0.49098,                0.60138,                0.39702,                0.81738,              0.0015614,              0.0015614,              0.0015614
                     35,                0.56705,                0.74321,                0.37525,                0.85241,                0.94557,                0.89978,                0.96662,                0.89619,                0.94485,                0.90037,                0.96427,                 0.8173,                0.44137,                0.58353,                0.35414,                0.81062,              0.0015581,              0.0015581,              0.0015581
                     36,                0.57652,                0.75711,                0.37841,                0.85639,                0.93988,                0.89515,                0.96562,                 0.8842,                0.93988,                0.89515,                  0.964,                0.82816,                0.49425,                0.60074,                0.38576,                 0.8172,              0.0015548,              0.0015548,              0.0015548
                     37,                0.59511,                0.75974,                0.38505,                0.85665,                0.92945,                0.90117,                0.96451,                0.88458,                0.92868,                0.89974,                 0.9621,                0.82757,                0.47601,                0.59012,                0.38864,                0.81263,              0.0015515,              0.0015515,              0.0015515
                     38,                0.58332,                0.77374,                0.37977,                0.85672,                0.92245,                0.87574,                0.95489,                0.86172,                0.92203,                0.87534,                0.95242,                0.77619,                0.55977,                 0.6976,                0.42691,                0.82714,              0.0015482,              0.0015482,              0.0015482
                     39,                0.59562,                 0.7896,                0.38875,                0.86061,                0.92998,                 0.9047,                0.96483,                0.85016,                0.93159,                0.90317,                0.96272,                 0.7787,                0.59218,                0.66597,                0.42121,                0.83401,              0.0015449,              0.0015449,              0.0015449
                     40,                0.58088,                0.76231,                0.37825,                0.85483,                0.94981,                0.86253,                0.95454,                0.87744,                0.94886,                0.86171,                0.95275,                0.81385,                0.46579,                0.58499,                0.40856,                0.81077,              0.0015416,              0.0015416,              0.0015416
                     41,                 0.5794,                0.75874,                0.37464,                0.85404,                0.94398,                0.86013,                0.95832,                 0.8901,                0.94552,                0.86158,                0.95862,                0.81926,                0.46066,                0.60441,                0.40043,                0.81358,              0.0015383,              0.0015383,              0.0015383
                     42,                0.58506,                0.77347,                0.37402,                 0.8527,                0.92514,                0.91027,                 0.9654,                0.89301,                0.92597,                0.91108,                0.96446,                0.81621,                0.46622,                0.59352,                0.37091,                0.81447,               0.001535,               0.001535,               0.001535
                     43,                 0.5941,                0.77219,                0.37212,                0.85794,                0.92726,                0.90352,                0.96761,                0.90137,                0.92853,                0.90391,                0.96692,                0.84368,                0.43743,                0.59856,                0.35816,                0.80901,              0.0015317,              0.0015317,              0.0015317
                     44,                0.58792,                0.77473,                 0.3741,                0.85972,                0.93881,                0.89929,                0.96491,                0.89674,                0.93817,                0.89866,                0.96325,                 0.8358,                0.44118,                0.59593,                0.35163,                0.81319,              0.0015284,              0.0015284,              0.0015284
                     45,                0.60412,                0.78018,                0.38051,                0.85883,                0.93424,                0.89578,                0.96332,                0.89195,                0.93468,                0.89618,                0.96245,                0.82105,                0.45418,                0.57716,                0.36707,                0.81029,              0.0015251,              0.0015251,              0.0015251
                     46,                0.55936,                0.73606,                0.36507,                0.84792,                0.92972,                0.90322,                0.96677,                0.89424,                 0.9293,                0.90281,                0.96552,                0.82358,                0.46782,                0.56886,                0.36503,                0.81157,              0.0015218,              0.0015218,              0.0015218
                     47,                0.57454,                0.75693,                0.36257,                0.85529,                0.93115,                0.89958,                0.96664,                0.90369,                0.93219,                0.90062,                0.96537,                0.82623,                0.42399,                0.57929,                0.37315,                0.80636,              0.0015185,              0.0015185,              0.0015185
                     48,                0.60276,                0.77758,                 0.3727,                0.85577,                 0.9268,                0.91012,                0.96702,                0.90657,                 0.9282,                0.91018,                0.96581,                0.83427,                0.40141,                  0.571,                0.34603,                0.80405,              0.0015152,              0.0015152,              0.0015152
                     49,                0.58879,                0.75691,                0.37534,                0.85816,                0.92445,                0.90393,                0.96579,                0.89401,                0.92575,                0.90297,                0.96412,                0.82418,                0.46852,                0.57185,                0.37302,                0.80872,              0.0015119,              0.0015119,              0.0015119
                     50,                0.58776,                0.76453,                0.37807,                0.85461,                 0.9335,                0.89665,                0.96656,                0.89526,                0.93437,                0.89746,                0.96561,                0.82935,                0.45506,                0.55951,                 0.3618,                0.80693,              0.0015086,              0.0015086,              0.0015086
                     51,                0.57179,                0.73686,                0.36694,                0.84908,                0.94797,                0.88947,                0.96565,                 0.8981,                0.94465,                 0.8905,                0.96304,                0.82999,                0.44613,                0.57524,                0.36802,                0.80934,              0.0015053,              0.0015053,              0.0015053
                     52,                0.56315,                0.73533,                 0.3639,                0.84822,                0.92015,                 0.9027,                0.96637,                0.89377,                0.92398,                0.89733,                0.96283,                 0.8198,                0.46097,                0.56282,                0.36235,                0.80958,               0.001502,               0.001502,               0.001502
                     53,                0.55855,                0.72851,                 0.3576,                0.85027,                0.91605,                0.86782,                0.94506,                0.86763,                0.91441,                0.86704,                0.94176,                0.79843,                0.49103,                 0.5868,                0.41759,                0.81779,              0.0014987,              0.0014987,              0.0014987
                     54,                0.57965,                0.75011,                0.36571,                0.85518,                0.95459,                0.87376,                0.96408,                0.89191,                0.95494,                0.87456,                0.96269,                0.82267,                0.45116,                0.58435,                0.36931,                0.80712,              0.0014954,              0.0014954,              0.0014954
                     55,                0.61056,                0.78058,                0.37869,                 0.8625,                0.94174,                0.88774,                0.96447,                0.88419,                0.94282,                0.88878,                0.96388,                0.82568,                0.49998,                0.58999,                0.37418,                0.81689,              0.0014921,              0.0014921,              0.0014921
                     56,                0.58004,                0.73996,                0.36748,                0.85222,                 0.9583,                0.86452,                0.96307,                0.88969,                0.95683,                 0.8633,                0.95944,                0.82685,                0.47254,                0.56763,                0.38518,                0.81665,              0.0014888,              0.0014888,              0.0014888
                     57,                0.55927,                0.72314,                 0.3588,                0.85048,                0.95157,                0.88618,                0.96457,                0.89978,                0.94957,                0.88659,                0.96265,                0.82927,                0.43127,                0.56355,                0.36838,                 0.8085,              0.0014855,              0.0014855,              0.0014855
                     58,                0.55245,                0.71713,                0.35103,                 0.8484,                0.92176,                0.88716,                0.95722,                0.88389,                0.91987,                0.88598,                0.95362,                0.81875,                0.46508,                0.58291,                0.39092,                0.81169,              0.0014822,              0.0014822,              0.0014822
                     59,                0.55828,                0.72232,                0.35917,                0.84913,                0.94987,                0.89546,                0.96768,                0.90585,                0.95075,                0.89628,                0.96761,                0.83694,                 0.4295,                0.56075,                0.35673,                0.80828,              0.0014789,              0.0014789,              0.0014789
                     60,                0.55565,                0.72986,                0.36362,                0.84736,                0.94457,                0.90413,                0.96798,                0.90105,                  0.945,                0.90454,                0.96708,                0.82941,                0.43514,                0.56406,                0.37824,                0.80745,              0.0014756,              0.0014756,              0.0014756
                     61,                0.56678,                  0.737,                0.37568,                0.84972,                  0.936,                0.90327,                0.96613,                0.88803,                0.93449,                0.90205,                 0.9646,                0.82006,                0.48279,                0.59234,                0.37676,                0.81446,              0.0014723,              0.0014723,              0.0014723
                     62,                0.55489,                0.72225,                 0.3614,                0.85075,                0.94087,                0.90407,                0.96825,                0.89463,                0.93955,                0.90285,                0.96604,                0.82342,                0.44522,                0.58154,                0.35162,                0.80819,               0.001469,               0.001469,               0.001469
                     63,                0.57255,                0.74684,                0.36532,                0.85047,                0.93629,                0.89437,                0.96278,                0.88319,                0.93584,                0.89396,                 0.9605,                0.81415,                0.48288,                0.59587,                0.36739,                0.81184,              0.0014657,              0.0014657,              0.0014657
                     64,                0.55926,                0.71739,                0.35526,                0.84776,                 0.9401,                0.90167,                0.96782,                 0.8718,                0.93794,                0.90363,                0.96686,                0.79477,                0.56748,                0.63088,                0.37734,                0.82902,              0.0014624,              0.0014624,              0.0014624
                     65,                0.58115,                0.75741,                0.35938,                0.85477,                0.94157,                0.89864,                0.96466,                0.85692,                0.94041,                0.89742,                0.96163,                0.78728,                0.58779,                0.65494,                0.40521,                0.83342,              0.0014591,              0.0014591,              0.0014591
                     66,                0.58556,                0.74671,                0.36896,                0.85261,                0.93672,                0.90389,                0.96667,                0.88423,                0.93588,                0.90308,                0.96363,                0.80678,                0.51376,                0.59024,                 0.3569,                 0.8196,              0.0014558,              0.0014558,              0.0014558
                     67,                0.56074,                0.71444,                 0.3508,                0.84818,                0.94181,                0.89931,                0.96651,                0.89483,                0.94181,                0.89931,                0.96548,                0.82317,                  0.459,                0.57107,                0.35959,                0.81301,              0.0014525,              0.0014525,              0.0014525
                     68,                0.58902,                0.74549,                0.36186,                0.85333,                0.93998,                0.89979,                0.96741,                0.89566,                0.94001,                0.90041,                0.96461,                0.80531,                0.44438,                0.60129,                0.35403,                0.80978,              0.0014492,              0.0014492,              0.0014492
                     69,                0.56399,                0.72742,                0.35147,                 0.8493,                0.95605,                0.86511,                0.96012,                 0.8981,                0.95556,                 0.8647,                0.95883,                 0.8327,                 0.4091,                0.55192,                0.36784,                 0.8048,              0.0014459,              0.0014459,              0.0014459
                     70,                0.59187,                0.75743,                0.36947,                0.85414,                0.93621,                0.90126,                0.96626,                0.90403,                0.93428,                0.89941,                0.96248,                0.83512,                0.41151,                0.56104,                0.35337,                0.80486,              0.0014426,              0.0014426,              0.0014426
                     71,                0.57272,                0.73737,                0.36019,                0.84743,                0.94682,                0.89308,                0.96748,                0.87676,                 0.9477,                0.89319,                0.96489,                0.79798,                0.52324,                0.58143,                0.36268,                 0.8154,              0.0014393,              0.0014393,              0.0014393
                     72,                0.57318,                0.72765,                0.36022,                0.84914,                0.93786,                 0.8992,                0.96665,                0.89058,                0.93739,                0.89558,                  0.963,                0.80094,                0.47049,                0.58762,                0.34601,                0.81007,               0.001436,               0.001436,               0.001436
