                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88705,                 2.2197,                 1.0847,                0.93207,                0.77724,                0.89816,                0.71421,                0.78915,                    inf,                0.88466,             0.00020004,             0.00020004,             0.00020004
                      2,                0.66332,                0.63999,                0.89171,                0.36248,                0.75717,                0.32952,                0.26512,                0.69263,                    nan,                0.91204,             0.00041592,             0.00041592,             0.00041592
                      3,                0.69962,                0.54651,                0.89742,                0.01402,                0.02098,                0.00338,                0.00196,                    nan,                    nan,                    nan,             0.00063095,             0.00063095,             0.00063095
                      4,                0.82969,                0.54886,                0.93308,                0.07936,                0.30431,                0.06302,                0.05033,                    nan,                    nan,                    nan,             0.00084512,             0.00084512,             0.00084512
                      5,                0.69122,                0.54824,                0.90319,                0.11857,                 0.5262,                0.10746,                0.08524,                    nan,                    nan,                    nan,              0.0010584,              0.0010584,              0.0010584
                      6,                0.65829,                0.49611,                0.89253,                0.19399,                0.53757,                0.17894,                0.13776,                    nan,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                      7,                0.70314,                0.51622,                0.90271,                0.68185,                0.69081,                0.67812,                0.54916,                0.73177,                 1.0964,                0.91803,              0.0014825,              0.0014825,              0.0014825
                      8,                0.77257,                0.55868,                0.92887,                0.73318,                 0.7379,                0.78237,                0.63558,                0.77222,                 1.0352,                0.92891,              0.0016439,              0.0016439,              0.0016439
                      9,                0.73484,                0.51378,                0.91601,                0.81213,                 0.7548,                0.91491,                0.77816,                0.68404,                  1.102,                0.89988,              0.0016439,              0.0016439,              0.0016439
                     10,                0.64299,                 0.4744,                0.88958,                0.77284,                0.80904,                0.86243,                 0.7257,                0.63722,                 1.3744,                0.88616,              0.0016406,              0.0016406,              0.0016406
                     11,                0.66275,                0.44602,                0.89178,                0.89979,                0.87337,                0.93756,                  0.781,                0.72484,                0.84979,                0.89987,              0.0016373,              0.0016373,              0.0016373
                     12,                 0.6818,                0.44604,                0.88774,                0.90494,                0.82493,                0.92148,                0.79346,                0.64366,                0.67555,                0.87013,               0.001634,               0.001634,               0.001634
                     13,                0.64089,                0.42509,                0.88226,                0.92262,                0.88527,                 0.9572,                0.83371,                0.60677,                0.62991,                 0.8514,              0.0016307,              0.0016307,              0.0016307
                     14,                 0.6429,                0.44021,                0.88296,                0.93987,                 0.8656,                0.94994,                0.85388,                0.54062,                0.58138,                0.84007,              0.0016274,              0.0016274,              0.0016274
                     15,                 0.6391,                0.42303,                0.87519,                0.80101,                0.80311,                0.87118,                0.76703,                   0.59,                 0.6171,                0.84479,              0.0016241,              0.0016241,              0.0016241
                     16,                0.63148,                 0.4396,                0.87948,                0.90138,                0.89258,                0.95172,                0.83355,                 0.5783,                0.57068,                0.84207,              0.0016208,              0.0016208,              0.0016208
                     17,                0.62604,                0.40996,                0.87362,                0.92719,                0.86698,                0.94971,                0.84253,                0.55106,                0.45027,                0.83544,              0.0016175,              0.0016175,              0.0016175
                     18,                0.62106,                0.42933,                0.87476,                0.92247,                0.81604,                0.92326,                 0.8068,                0.61783,                0.49613,                0.85576,              0.0016142,              0.0016142,              0.0016142
                     19,                0.62004,                0.39766,                0.87439,                0.91962,                0.87257,                0.95135,                0.85934,                0.52671,                0.49453,                0.82298,              0.0016109,              0.0016109,              0.0016109
                     20,                0.61473,                 0.4018,                0.87043,                0.93228,                0.87919,                0.96259,                0.84523,                0.59767,                0.43295,                0.84108,              0.0016076,              0.0016076,              0.0016076
                     21,                 0.6154,                 0.4587,                0.86921,                 0.9037,                 0.8869,                0.95335,                0.85564,                0.52825,                0.49978,                0.82611,              0.0016043,              0.0016043,              0.0016043
                     22,                0.61425,                0.42723,                0.87276,                0.90337,                0.86271,                0.93891,                  0.816,                0.63215,                 0.4742,                 0.8515,               0.001601,               0.001601,               0.001601
                     23,                0.62178,                0.41634,                 0.8728,                0.46957,                 0.5391,                0.48322,                0.44871,                 1.3756,                    inf,                 1.3998,              0.0015977,              0.0015977,              0.0015977
                     24,                0.61199,                0.41054,                0.86894,                0.91166,                0.88866,                0.95642,                0.85963,                0.52936,                0.43751,                0.82431,              0.0015944,              0.0015944,              0.0015944
                     25,                0.61993,                 0.3939,                0.86391,                0.94203,                 0.8882,                0.96342,                0.87585,                0.49682,                0.42936,                 0.8253,              0.0015911,              0.0015911,              0.0015911
                     26,                0.60087,                0.37797,                0.86575,                0.92825,                0.89557,                0.96353,                0.87733,                0.51307,                0.43687,                0.81977,              0.0015878,              0.0015878,              0.0015878
                     27,                 0.5942,                0.37856,                 0.8604,                0.91957,                0.89696,                0.96253,                0.88475,                0.44861,                0.44043,                0.81741,              0.0015845,              0.0015845,              0.0015845
                     28,                0.59061,                0.38125,                0.85939,                0.91772,                0.89786,                0.96044,                0.85404,                0.53994,                0.44595,                0.82875,              0.0015812,              0.0015812,              0.0015812
                     29,                0.61221,                0.38481,                0.86626,                0.93367,                 0.8994,                0.96465,                 0.8728,                0.51356,                0.40774,                0.82003,              0.0015779,              0.0015779,              0.0015779
                     30,                0.59306,                0.38189,                0.86122,                0.93701,                0.89544,                0.96434,                0.87946,                0.47882,                0.38039,                0.81605,              0.0015746,              0.0015746,              0.0015746
                     31,                 0.5619,                 0.3682,                0.85262,                0.91696,                0.87453,                0.95061,                0.86268,                0.50605,                0.44335,                0.82513,              0.0015713,              0.0015713,              0.0015713
                     32,                0.58753,                0.37558,                0.86434,                0.91926,                 0.9143,                0.96564,                0.89042,                0.44708,                0.38613,                0.80986,               0.001568,               0.001568,               0.001568
                     33,                0.61255,                0.37894,                0.86113,                0.94026,                0.88863,                0.96233,                 0.8826,                0.46242,                0.36178,                0.81561,              0.0015647,              0.0015647,              0.0015647
                     34,                0.57891,                0.36744,                 0.8603,                0.92369,                0.89488,                 0.9646,                0.86916,                0.50516,                0.39722,                0.82394,              0.0015614,              0.0015614,              0.0015614
                     35,                0.63074,                0.37974,                0.87272,                0.91879,                 0.9026,                0.96289,                0.81343,                0.77565,                 0.4548,                0.88808,              0.0015581,              0.0015581,              0.0015581
                     36,                 0.6718,                0.38833,                0.88153,                0.92996,                 0.8765,                0.95984,                0.83076,                0.67687,                0.49879,                0.86224,              0.0015548,              0.0015548,              0.0015548
                     37,                0.60997,                0.46337,                0.86758,                 0.9238,                 0.9026,                0.96487,                0.85836,                0.56114,                0.44354,                0.83321,              0.0015515,              0.0015515,              0.0015515
                     38,                 0.5902,                0.37409,                0.86336,                0.93226,                0.86384,                0.95209,                0.85621,                0.52305,                0.49847,                0.82131,              0.0015482,              0.0015482,              0.0015482
                     39,                0.60764,                0.37754,                0.85839,                0.76533,                0.68631,                0.70261,                 0.6196,                0.60472,                 1.0157,                0.83664,              0.0015449,              0.0015449,              0.0015449
                     40,                0.58505,                0.36293,                0.85855,                0.93129,                0.89438,                0.96554,                0.88778,                0.48446,                0.41019,                0.81681,              0.0015416,              0.0015416,              0.0015416
                     41,                0.61707,                 0.3766,                0.86185,                0.93388,                0.87321,                0.96181,                0.85845,                0.57162,                0.47299,                0.83165,              0.0015383,              0.0015383,              0.0015383
                     42,                0.59625,                0.39088,                0.85974,                0.94491,                0.85243,                0.95972,                0.85221,                0.58514,                 0.4522,                0.83591,               0.001535,               0.001535,               0.001535
                     43,                0.59712,                0.36238,                 0.8588,                0.94676,                0.87864,                0.96064,                0.88148,                 0.4717,                0.39558,                 0.8122,              0.0015317,              0.0015317,              0.0015317
                     44,                0.59031,                0.37589,                0.86048,                0.93352,                0.89877,                0.96425,                0.88079,                0.47926,                0.37322,                0.81106,              0.0015284,              0.0015284,              0.0015284
                     45,                0.57878,                0.35802,                  0.856,                  0.926,                0.90559,                0.96742,                0.88081,                0.51309,                0.38289,                0.81871,              0.0015251,              0.0015251,              0.0015251
                     46,                0.58799,                0.49938,                0.86645,                0.92841,                0.90546,                 0.9682,                 0.8783,                0.53576,                0.37571,                0.81956,              0.0015218,              0.0015218,              0.0015218
                     47,                0.57136,                0.35218,                0.85208,                0.93169,                0.89572,                0.96409,                0.87714,                0.50354,                0.36217,                0.82269,              0.0015185,              0.0015185,              0.0015185
                     48,                0.60375,                0.36825,                0.85662,                0.93014,                0.90017,                0.96722,                 0.8801,                0.49866,                0.37931,                0.81499,              0.0015152,              0.0015152,              0.0015152
                     49,                0.57185,                0.35796,                0.85744,                0.92232,                0.90905,                0.96801,                0.87643,                0.51666,                0.36918,                0.82254,              0.0015119,              0.0015119,              0.0015119
                     50,                0.55188,                0.36015,                0.85704,                0.91701,                0.90566,                0.96607,                0.86896,                0.54497,                0.37431,                0.82269,              0.0015086,              0.0015086,              0.0015086
                     51,                0.57283,                 0.3588,                0.84968,                0.93648,                0.89765,                0.96432,                0.88871,                 0.4498,                0.36265,                0.81428,              0.0015053,              0.0015053,              0.0015053
                     52,                0.56799,                0.35738,                 0.8523,                0.92304,                0.87438,                0.95635,                0.87552,                0.49397,                0.39113,                0.81622,               0.001502,               0.001502,               0.001502
                     53,                0.58927,                0.36849,                0.85284,                0.93206,                0.87627,                0.95919,                0.86672,                 0.5312,                0.39293,                0.82403,              0.0014987,              0.0014987,              0.0014987
                     54,                0.56149,                0.34922,                0.84864,                0.92821,                0.90656,                0.96623,                0.87267,                0.53736,                0.39461,                0.82144,              0.0014954,              0.0014954,              0.0014954
                     55,                 0.5756,                0.36187,                0.85201,                0.91119,                0.84324,                0.93484,                0.81158,                0.65752,                0.52227,                 0.8538,              0.0014921,              0.0014921,              0.0014921
                     56,                0.60652,                0.37636,                0.86005,                0.93259,                0.90046,                0.96652,                0.85401,                0.60843,                0.42506,                0.84005,              0.0014888,              0.0014888,              0.0014888
                     57,                0.58285,                0.37459,                0.85733,                0.92788,                0.90464,                0.96801,                0.87523,                0.54771,                0.41449,                0.82948,              0.0014855,              0.0014855,              0.0014855
                     58,                0.56713,                 0.3587,                0.85218,                0.93531,                0.90024,                0.96627,                0.87863,                0.50986,                0.40577,                0.82211,              0.0014822,              0.0014822,              0.0014822
                     59,                0.57399,                0.35717,                0.85308,                0.93236,                0.86835,                0.96044,                0.88317,                0.47265,                0.38208,                0.81815,              0.0014789,              0.0014789,              0.0014789
                     60,                0.56776,                0.34775,                0.85098,                0.94543,                0.85495,                0.95575,                0.87731,                0.46853,                0.39185,                0.81658,              0.0014756,              0.0014756,              0.0014756
                     61,                0.56923,                 0.3535,                0.85015,                0.92633,                0.90756,                0.96514,                0.85502,                0.61025,                 0.3916,                0.83962,              0.0014723,              0.0014723,              0.0014723
                     62,                0.58099,                0.35987,                0.85483,                0.93199,                0.90117,                0.96759,                 0.8849,                0.50879,                0.36537,                0.81691,               0.001469,               0.001469,               0.001469
                     63,                0.57085,                0.39505,                0.85201,                0.79231,                0.57892,                0.64495,                0.59398,                0.45469,                 1.4234,                0.81432,              0.0014657,              0.0014657,              0.0014657
                     64,                0.55678,                0.37534,                0.84941,                0.81046,                0.81109,                0.83559,                0.74971,                0.51069,                0.63815,                0.84327,              0.0014624,              0.0014624,              0.0014624
