,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),fitness,model_name,image_size
0,0.9028616386638175,0.9120307923746407,0.9605367243475407,0.870983250419594,0.8992645465465392,0.9047942322614047,0.9549373303834989,0.8002806845647588,1.6956849469590214,yolov8n-seg,640
1,0.9066083765437931,0.9137116423660355,0.9706856520192217,0.9104454089810959,0.9066083765437931,0.9137116423660355,0.9682146612765155,0.8255644485692388,1.756298903124875,yolov8x-seg,640
2,0.8967068985220482,0.9268057218881365,0.9679624259072703,0.9005316108230689,0.9151325416258418,0.9034055312311995,0.9641719831204174,0.8177559159127069,1.739672214964967,yolov8m-seg,640
3,0.9030514088357644,0.9203300229556619,0.9678574758534055,0.9145389922759554,0.9030514088357644,0.9203300229556619,0.9675176805291363,0.8989485992949019,1.8256763480520257,yolov8l-seg,1280
4,0.9072022323336645,0.9189292059345797,0.9657822792314439,0.9179845666688085,0.9065127617662985,0.918849195639692,0.9655683473543866,0.89676063890702,1.8264057476768287,yolov8x-seg,1280
5,0.9224620943749969,0.8838163696679109,0.9637596025097684,0.9048319476198428,0.9228996551055059,0.8842157306902751,0.9630647543390787,0.8902428314179943,1.808249736818938,yolov8s-seg,1280
6,0.9226832478466583,0.8941849726015313,0.966688001581992,0.9131682696132181,0.925426415003666,0.894012849008829,0.9672914539776496,0.898483950161442,1.8238849433531583,yolov8m-seg,1280
7,0.9242710283509676,0.899777033647247,0.9688186590244996,0.9003240221021601,0.9239229300751448,0.8991379434939579,0.9671289122075012,0.8249658203870615,1.7463556153634996,yolov8l-seg,640
8,0.8910940671916141,0.9310831164861346,0.9633686660022802,0.8992265720819773,0.8884820130350168,0.9303897682484039,0.9628280262580516,0.8783936939842729,1.7924779086856584,yolov8n-seg,1280
9,0.9090315252191383,0.9061122513029924,0.9634835103052255,0.8905375980932646,0.907918623764034,0.9050084985436107,0.9618907931312644,0.8263794391310318,1.7377627638455158,yolov8s-seg,640
10,0.897250989914596,0.8984260391593375,0.9645306404521357,0.9037011426382613,,,,,0.9097840924196487,rtdetr-l,640
11,0.8698311337515705,0.9140675069854659,0.9631771541549294,0.9136922541796586,,,,,0.9186407441771857,rtdetr-l,1280
12,0.930545055338986,0.8876252741750066,0.9662282744168538,0.9078089759973439,,,,,0.9136509058392949,yolov9c,640
13,0.9033909277117769,0.8773565123705187,0.9635753570897521,0.91235100657169,,,,,0.9174734416234962,rtdetr-x,1280
14,0.9034385533897906,0.9180112817760976,0.9637123142810504,0.9044310876157533,,,,,0.9103592102822831,yolov9e,640
15,0.9026515576178171,0.916595298580958,0.9674181557919669,0.9179320386811236,,,,,0.922880650392208,yolov9e,1280
16,0.9118021974972186,0.9117765768683594,0.9670706423722903,0.9119106354002178,,,,,0.9174266360974251,yolov9c,1280
17,0.8986451609982598,0.9031306361134526,0.9648510223807958,0.903766320104948,,,,,0.9098747903325328,rtdetr-x,640
