                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39717,                0.44456,                 0.3121,                0.83843,                0.92909,                0.87692,                0.94929,                0.89044,                0.92843,                0.87628,                0.94829,                0.86352,                0.41194,                0.51305,                0.44679,                0.83376,              0.0099772,              0.0099772,              0.0099772
                     26,                0.42175,                0.46944,                  0.331,                0.83819,                0.92125,                0.90308,                0.95615,                0.91045,                0.92167,                0.90349,                 0.9572,                0.87808,                0.35867,                0.49508,                0.39185,                0.82215,              0.0099762,              0.0099762,              0.0099762
                     27,                0.39902,                0.43944,                0.30678,                0.82892,                0.92386,                0.89962,                0.95995,                0.90847,                0.92511,                0.89925,                0.96032,                0.87724,                0.38235,                0.49985,                 0.4175,                0.82846,              0.0099753,              0.0099753,              0.0099753
                     28,                0.40591,                 0.4619,                0.32064,                0.82797,                 0.9186,                0.89929,                0.95904,                0.91203,                0.91818,                0.89888,                0.95797,                0.87738,                0.35068,                0.48622,                0.40891,                0.82323,              0.0099743,              0.0099743,              0.0099743
                     29,                0.38915,                0.41878,                0.31086,                0.82192,                 0.9207,                0.89512,                0.96069,                0.91308,                0.91927,                0.89572,                0.96105,                0.89098,                0.38206,                0.49985,                0.43147,                0.83109,              0.0099733,              0.0099733,              0.0099733
                     30,                0.40566,                0.43793,                0.32854,                0.83437,                0.91957,                0.90197,                0.95588,                0.91429,                0.91845,                0.89974,                0.95454,                0.87665,                0.33037,                0.51049,                0.41027,                0.81997,              0.0099723,              0.0099723,              0.0099723
                     31,                0.39779,                0.45593,                 0.3032,                0.82724,                0.91658,                0.89944,                0.95434,                0.90769,                0.91511,                0.89799,                0.95341,                0.87309,                0.37458,                0.47666,                0.40834,                0.81712,              0.0099713,              0.0099713,              0.0099713
                     32,                0.39716,                0.42326,                0.30865,                0.82653,                0.91614,                0.90369,                0.95899,                0.91306,                0.91531,                0.90288,                0.95841,                0.87885,                0.35767,                0.50613,                0.38729,                0.82544,              0.0099703,              0.0099703,              0.0099703
                     33,                0.37517,                0.42325,                0.29088,                0.82199,                0.91861,                0.89997,                0.95421,                0.90744,                0.92017,                0.90078,                0.95493,                0.88301,                0.37442,                0.51122,                  0.409,                0.82905,              0.0099693,              0.0099693,              0.0099693
                     34,                0.37391,                0.40577,                0.29254,                 0.8284,                0.91548,                0.90748,                0.95443,                0.91073,                0.90693,                0.91461,                0.95707,                0.87864,                0.34376,                0.50454,                0.40799,                0.82461,              0.0099683,              0.0099683,              0.0099683
                     35,                0.36758,                0.41759,                0.27132,                0.82916,                0.91239,                0.90899,                0.96169,                0.91522,                0.91239,                0.90899,                0.96141,                0.87936,                0.36029,                0.48829,                0.39373,                0.82626,              0.0099673,              0.0099673,              0.0099673
                     36,                0.38698,                0.42582,                0.29076,                0.82395,                0.91793,                0.89331,                0.95626,                0.91059,                0.91793,                0.89331,                0.95651,                0.88963,                0.35209,                0.50362,                0.43954,                0.82367,              0.0099663,              0.0099663,              0.0099663
                     37,                 0.3818,                0.41456,                0.29834,                0.81893,                0.90442,                0.90962,                0.95457,                0.90952,                0.90442,                0.90962,                 0.9549,                0.87976,                0.35854,                0.50985,                0.41695,                0.82417,              0.0099654,              0.0099654,              0.0099654
                     38,                0.36934,                  0.405,                0.28881,                0.82284,                0.90644,                0.89993,                0.95087,                0.90603,                0.90644,                0.89993,                0.95196,                0.87987,                0.35681,                0.53167,                 0.4193,                0.82633,              0.0099644,              0.0099644,              0.0099644
                     39,                0.35777,                0.39495,                 0.2836,                0.82365,                0.91057,                0.89538,                0.94702,                0.89875,                0.91099,                0.89579,                0.94769,                0.87325,                0.37358,                0.56424,                0.47367,                0.83362,              0.0099634,              0.0099634,              0.0099634
                     40,                0.35718,                0.43233,                0.28657,                0.81754,                0.90378,                0.89946,                0.94343,                0.90313,                0.90419,                0.89987,                0.94425,                0.88124,                0.33191,                0.51391,                0.43378,                0.81634,              0.0099624,              0.0099624,              0.0099624
                     41,                0.38235,                0.43237,                0.28144,                0.81767,                 0.9257,                  0.881,                0.94916,                0.91049,                 0.9257,                  0.881,                0.94947,                0.89074,                 0.3246,                0.51127,                0.41987,                0.82214,              0.0099614,              0.0099614,              0.0099614
                     42,                0.35587,                0.40533,                0.27564,                0.81995,                0.91376,                 0.8971,                0.94844,                0.90852,                0.91376,                 0.8971,                0.94904,                0.88579,                0.33184,                 0.5248,                0.41673,                0.82279,              0.0099604,              0.0099604,              0.0099604
                     43,                0.34537,                0.39295,                0.26989,                0.82011,                0.91779,                0.89617,                0.95831,                0.91805,                0.91736,                0.89576,                0.95793,                0.88672,                0.32572,                0.51587,                0.41178,                 0.8215,              0.0099594,              0.0099594,              0.0099594
                     44,                0.35911,                0.42341,                0.27036,                0.82613,                0.90165,                 0.9039,                0.95556,                0.91622,                0.90245,                0.90607,                0.95601,                0.89112,                0.34264,                0.51729,                0.41459,                0.82842,              0.0099584,              0.0099584,              0.0099584
                     45,                0.36117,                 0.4093,                0.27704,                 0.8283,                 0.9254,                0.88454,                0.95575,                0.91495,                0.92496,                0.88413,                0.95633,                0.89557,                0.35699,                0.52233,                0.42433,                0.83152,              0.0099574,              0.0099574,              0.0099574
                     46,                0.35942,                0.41767,                0.26503,                0.81978,                0.90933,                0.90913,                0.95044,                0.91024,                0.90933,                0.90913,                0.95048,                0.88443,                0.33494,                0.55388,                0.43664,                0.82413,              0.0099564,              0.0099564,              0.0099564
                     47,                0.36172,                0.40738,                0.26898,                0.81534,                0.89362,                0.91447,                0.95375,                0.91339,                0.89463,                0.91551,                0.95412,                0.88532,                0.33976,                0.51938,                0.40634,                0.82339,              0.0099555,              0.0099555,              0.0099555
                     48,                0.36341,                 0.3979,                0.28385,                0.81501,                 0.9031,                0.90136,                0.95239,                0.90986,                 0.9031,                0.90136,                 0.9528,                0.88547,                0.34957,                0.50922,                0.41705,                 0.8209,              0.0099545,              0.0099545,              0.0099545
                     49,                0.33193,                0.38444,                0.26714,                0.81286,                  0.883,                0.89917,                0.94257,                0.89781,                0.88346,                0.90012,                0.94343,                0.87438,                0.35027,                0.54412,                0.47205,                0.82419,              0.0099535,              0.0099535,              0.0099535
                     50,                0.35779,                0.39172,                0.28228,                0.81554,                0.89745,                0.90992,                0.95048,                0.90865,                0.89686,                0.90929,                0.95213,                0.87437,                0.33943,                0.52138,                0.43099,                0.82141,              0.0099525,              0.0099525,              0.0099525
                     51,                0.34926,                0.38764,                0.26638,                0.81082,                 0.9039,                0.90232,                0.95651,                0.91334,                 0.9039,                0.90232,                0.95631,                0.88181,                0.34576,                0.53737,                0.41127,                0.82069,              0.0099515,              0.0099515,              0.0099515
                     52,                0.34265,                0.39972,                0.26971,                0.81837,                 0.9232,                0.88473,                0.94072,                0.90173,                0.92362,                0.88514,                0.94095,                0.87012,                0.33212,                0.53564,                0.43758,                0.82407,              0.0099505,              0.0099505,              0.0099505
                     53,                0.34843,                0.38933,                0.26564,                 0.8112,                0.90759,                0.89517,                0.94172,                0.90043,                0.90718,                0.89477,                0.94046,                0.87314,                0.33223,                0.52766,                0.44978,                0.82335,              0.0099495,              0.0099495,              0.0099495
                     54,                0.33635,                0.38402,                 0.2712,                0.81749,                0.90401,                0.89526,                0.94561,                0.90668,                0.90401,                0.89526,                0.94597,                 0.8742,                0.32488,                0.52435,                 0.4358,                0.82081,              0.0099485,              0.0099485,              0.0099485
                     55,                0.33845,                0.38648,                0.24971,                0.81721,                0.91383,                0.88543,                0.94305,                0.90511,                0.91383,                0.88543,                0.94338,                0.88285,                0.32563,                0.54043,                 0.4522,                 0.8197,              0.0099475,              0.0099475,              0.0099475
                     56,                0.35595,                0.41231,                0.26226,                0.81373,                0.92811,                0.87255,                0.94372,                0.90308,                0.92813,                0.87187,                0.94408,                0.88223,                0.34012,                0.51902,                0.44899,                0.81759,              0.0099465,              0.0099465,              0.0099465
                     57,                0.37527,                0.41109,                0.26284,                0.81626,                0.90605,                0.89363,                0.95145,                0.91238,                0.90688,                0.89444,                 0.9514,                0.88613,                0.33405,                0.50905,                0.44752,                0.81432,              0.0099456,              0.0099456,              0.0099456
                     58,                0.33408,                0.37972,                0.25872,                0.81382,                0.91052,                0.89609,                0.95398,                0.91301,                0.91112,                0.89673,                0.95371,                0.89566,                0.33921,                0.52112,                0.42155,                0.81236,              0.0099446,              0.0099446,              0.0099446
                     59,                0.34611,                0.38307,                0.26279,                0.81669,                0.92376,                0.88278,                0.94763,                0.91098,                0.92256,                0.88174,                0.94662,                0.88746,                0.32836,                0.51748,                0.42997,                0.81395,              0.0099436,              0.0099436,              0.0099436
                     60,                0.34691,                 0.3963,                0.25376,                 0.8157,                0.91906,                0.89581,                0.94895,                0.91265,                0.91947,                0.89622,                0.94984,                0.89068,                0.31727,                0.53836,                0.43075,                0.81644,              0.0099426,              0.0099426,              0.0099426
                     61,                0.35605,                0.38878,                0.26004,                0.81144,                 0.9212,                0.87997,                0.95447,                0.91923,                0.89324,                0.90444,                0.95398,                0.89453,                0.31934,                0.52246,                0.42875,                0.82067,              0.0099416,              0.0099416,              0.0099416
                     62,                0.33646,                0.37396,                0.24041,                0.81372,                0.90953,                0.89474,                0.94976,                0.91342,                0.90994,                0.89514,                0.95008,                0.88881,                0.32476,                0.51577,                0.43321,                0.81604,              0.0099406,              0.0099406,              0.0099406
                     63,                0.34317,                0.38468,                 0.2505,                0.81191,                0.92655,                0.87667,                0.94847,                0.91382,                  0.927,                0.87707,                0.94945,                0.89162,                0.31648,                0.51223,                0.43465,                0.81698,              0.0099396,              0.0099396,              0.0099396
                     64,                0.34006,                0.38377,                0.25257,                0.81354,                 0.9161,                0.88653,                0.94508,                 0.9099,                0.91558,                0.88807,                0.94646,                0.89152,                0.32556,                 0.5057,                0.43627,                0.81769,              0.0099386,              0.0099386,              0.0099386
                     65,                0.32589,                0.37275,                0.23145,                0.80807,                0.89529,                0.89974,                0.94505,                0.91053,                0.89529,                0.89974,                0.94563,                0.89326,                0.31458,                 0.5294,                0.44126,                0.81531,              0.0099376,              0.0099376,              0.0099376
                     66,                0.32427,                0.37656,                0.24303,                0.81298,                0.89122,                0.90536,                0.95394,                0.91695,                0.89122,                0.90536,                0.95428,                0.89846,                 0.3329,                0.53842,                0.42466,                0.81762,              0.0099366,              0.0099366,              0.0099366
                     67,                0.33102,                0.37562,                0.23903,                0.81258,                0.91196,                0.89159,                0.95022,                 0.9087,                0.91196,                0.89159,                0.95047,                0.89219,                0.33492,                 0.5458,                0.42581,                0.82364,              0.0099357,              0.0099357,              0.0099357
