                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59276,                 1.0122,                 1.0979,                0.92593,                0.89078,                0.88735,                0.95124,                0.84085,                0.89264,                0.88921,                0.95257,                0.82401,                0.60107,                0.82479,                 1.0897,                0.88654,              0.0005475,              0.0005475,              0.0005475
                      2,                0.54194,                0.89151,                0.66454,                0.88969,                0.50406,                0.88999,                0.69492,                 0.5757,                0.50204,                0.88628,                0.68904,                0.51031,                0.62134,                 1.6054,                 3.6901,                0.92039,               0.001101,               0.001101,               0.001101
                      3,                0.57912,                 1.1698,                0.67643,                0.91329,                0.67449,                0.78495,                 0.8871,                0.77515,                0.67136,                0.78291,                 0.8855,                0.72713,                0.57908,                   1.35,                 1.3088,                0.90702,              0.0016523,              0.0016523,              0.0016523
                      4,                0.66595,                 1.1522,                0.72902,                0.93977,                0.88903,                0.80852,                0.90996,                0.78254,                0.89169,                0.80289,                0.90676,                0.75672,                0.60491,                 1.1255,                 0.8375,                0.90518,              0.0016571,              0.0016571,              0.0016571
                      5,                0.59254,                0.91753,                0.61036,                0.91323,                0.86743,                0.81757,                0.91966,                0.78225,                0.86663,                0.81776,                0.92014,                0.76259,                0.67789,                0.95219,                0.84133,                0.92021,              0.0016571,              0.0016571,              0.0016571
                      6,                0.55388,                 0.7911,                0.60341,                0.90163,                0.86749,                0.83403,                0.91829,                0.81346,                0.86714,                0.83362,                0.91776,                0.80221,                0.57905,                0.77996,                0.80459,                0.88856,              0.0016538,              0.0016538,              0.0016538
                      7,                0.53759,                0.73338,                0.58183,                0.89197,                0.83024,                0.83489,                0.94996,                0.85124,                0.82968,                0.83448,                0.94964,                 0.8529,                0.51271,                0.70099,                0.82342,                0.86759,              0.0016505,              0.0016505,              0.0016505
                      8,                0.53948,                 0.8148,                0.56233,                0.89707,                0.92387,                0.88678,                0.96027,                0.87869,                0.92382,                0.88696,                0.96002,                0.84507,                0.47473,                0.77594,                0.52108,                0.86607,              0.0016472,              0.0016472,              0.0016472
                      9,                0.53241,                0.76537,                 0.5327,                0.89213,                0.91765,                 0.8556,                0.94629,                0.85476,                0.91721,                0.85519,                0.94655,                0.83316,                0.51923,                0.69246,                0.58068,                0.86309,              0.0016439,              0.0016439,              0.0016439
                     10,                0.49916,                0.69811,                0.49179,                0.88388,                0.86363,                 0.8634,                0.94729,                0.84736,                0.86363,                 0.8634,                0.94686,                0.84362,                0.52563,                 0.6801,                0.58227,                0.86376,              0.0016406,              0.0016406,              0.0016406
                     11,                0.50642,                0.66231,                0.48786,                0.88019,                0.91703,                0.81763,                0.92523,                0.86325,                0.91656,                0.81722,                0.92486,                0.83766,                0.44165,                 0.6668,                0.52989,                0.84193,              0.0016373,              0.0016373,              0.0016373
                     12,                0.51932,                0.70181,                0.48088,                0.88071,                0.92931,                0.89099,                0.95957,                0.87727,                0.92931,                0.89099,                0.95897,                0.86245,                0.51134,                0.65197,                0.47742,                0.86101,               0.001634,               0.001634,               0.001634
                     13,                0.50149,                0.67915,                 0.4652,                0.87711,                0.92637,                0.89328,                0.96046,                0.89818,                0.92531,                0.89363,                0.96015,                0.88049,                0.44919,                 0.6871,                0.44699,                0.84979,              0.0016307,              0.0016307,              0.0016307
                     14,                 0.5205,                0.70731,                0.47656,                0.87803,                0.93738,                0.87284,                0.94711,                 0.8874,                 0.9383,                0.87365,                0.94766,                0.87079,                 0.4319,                0.61231,                0.47707,                0.83959,              0.0016274,              0.0016274,              0.0016274
                     15,                0.50662,                0.67759,                0.46114,                0.88205,                0.92736,                0.89135,                0.96092,                0.88856,                0.92688,                 0.8901,                0.95974,                 0.8698,                0.46555,                0.66813,                0.43385,                0.84858,              0.0016241,              0.0016241,              0.0016241
                     16,                0.48209,                0.66034,                0.44469,                0.87081,                0.93146,                0.88559,                0.95786,                0.88746,                0.93187,                  0.886,                0.95786,                0.87467,                0.44966,                0.61122,                 0.4469,                0.84265,              0.0016208,              0.0016208,              0.0016208
                     17,                0.49366,                0.65282,                0.44846,                0.87275,                0.93497,                0.89614,                  0.965,                0.90428,                0.93361,                0.89663,                0.96529,                0.89232,                0.42816,                0.59699,                0.46444,                0.83992,              0.0016175,              0.0016175,              0.0016175
                     18,                0.49431,                0.66132,                0.43307,                0.87029,                0.93215,                0.89269,                0.96442,                0.90308,                0.93215,                0.89269,                0.96553,                0.88869,                0.41334,                0.57637,                0.42941,                0.83953,              0.0016142,              0.0016142,              0.0016142
                     19,                0.46581,                0.62304,                 0.4202,                0.86349,                0.93392,                0.89408,                0.96299,                0.90088,                0.93435,                0.89449,                0.96382,                0.88748,                0.42971,                0.56416,                0.41138,                0.83754,              0.0016109,              0.0016109,              0.0016109
                     20,                0.48264,                0.63812,                0.42567,                0.86592,                0.93581,                0.88296,                 0.9474,                0.88268,                0.93538,                0.88256,                0.94634,                0.86197,                0.44874,                0.61557,                  0.465,                0.84751,              0.0016076,              0.0016076,              0.0016076
                     21,                0.49082,                0.66584,                0.44762,                 0.8734,                0.89681,                0.87357,                0.94723,                0.89174,                0.89728,                0.87397,                0.94736,                 0.8674,                0.41899,                0.60356,                0.49223,                0.83986,              0.0016043,              0.0016043,              0.0016043
                     22,                0.47177,                0.63353,                0.42768,                0.86711,                0.91893,                0.89621,                0.95433,                0.89432,                0.92017,                0.89743,                0.95495,                0.86116,                0.42622,                0.59195,                 0.5073,                0.84033,               0.001601,               0.001601,               0.001601
                     23,                0.46817,                 0.6156,                0.41449,                0.86503,                0.93161,                 0.8987,                0.96147,                0.89854,                0.93106,                0.90088,                0.96145,                0.88337,                0.43344,                0.62382,                0.42498,                0.84444,              0.0015977,              0.0015977,              0.0015977
                     24,                0.46936,                 0.6271,                0.40943,                0.86514,                0.93614,                0.90068,                0.96159,                0.90166,                0.93393,                 0.9003,                0.96068,                0.87939,                 0.4168,                0.60187,                0.40969,                0.84015,              0.0015944,              0.0015944,              0.0015944
                     25,                 0.4852,                0.62983,                0.41835,                0.87167,                0.92815,                0.90702,                 0.9671,                0.90235,                0.92692,                0.90789,                0.96665,                 0.8854,                0.44179,                0.57817,                0.40694,                0.84147,              0.0015911,              0.0015911,              0.0015911
                     26,                0.46641,                0.61343,                0.41094,                0.86445,                0.93607,                0.89592,                  0.968,                0.90452,                0.93607,                0.89592,                0.96818,                0.88444,                0.42756,                0.56943,                0.40726,                 0.8387,              0.0015878,              0.0015878,              0.0015878
                     27,                0.45833,                0.61137,                0.40597,                0.85787,                0.92648,                0.90189,                0.95797,                0.90285,                0.92648,                0.90189,                0.95765,                 0.8822,                0.42266,                0.57279,                0.42834,                0.83501,              0.0015845,              0.0015845,              0.0015845
                     28,                0.44975,                0.59225,                0.40925,                 0.8599,                0.94097,                0.89127,                0.95732,                0.88649,                0.93642,                0.89209,                0.95736,                0.86728,                0.45653,                0.59941,                0.46216,                0.84182,              0.0015812,              0.0015812,              0.0015812
                     29,                0.46398,                0.62654,                0.42321,                0.86564,                 0.9468,                 0.8693,                0.95707,                0.88665,                0.94346,                0.86876,                0.95667,                0.87571,                0.44354,                0.58519,                0.49872,                0.83816,              0.0015779,              0.0015779,              0.0015779
                     30,                0.44792,                0.59204,                  0.401,                0.85891,                0.93138,                0.89429,                0.96497,                0.90643,                0.93138,                0.89429,                0.96521,                0.88656,                0.41446,                0.56882,                0.40222,                0.82901,              0.0015746,              0.0015746,              0.0015746
                     31,                 0.4516,                0.59752,                0.39685,                0.86123,                  0.935,                0.89252,                 0.9572,                0.89586,                0.93544,                0.89293,                 0.9576,                0.86895,                0.42299,                0.55507,                0.42495,                0.83392,              0.0015713,              0.0015713,              0.0015713
                     32,                0.46664,                0.61463,                0.39654,                0.86107,                0.90122,                0.92049,                0.96672,                0.90459,                0.90161,                0.92089,                0.96726,                0.88309,                0.42518,                0.59704,                0.39363,                0.83632,               0.001568,               0.001568,               0.001568
                     33,                0.46632,                0.61867,                0.40014,                0.86455,                0.93946,                0.89119,                0.96049,                0.90418,                0.93638,                0.89067,                0.95879,                0.89098,                0.39813,                0.59246,                 0.3953,                0.83014,              0.0015647,              0.0015647,              0.0015647
                     34,                0.52381,                0.65054,                0.42392,                 0.8777,                0.92581,                0.89821,                0.96786,                0.91211,                0.92543,                0.89904,                0.96808,                  0.898,                0.41201,                0.55896,                0.42973,                0.83337,              0.0015614,              0.0015614,              0.0015614
                     35,                0.46649,                0.61715,                0.40784,                0.86316,                 0.9332,                0.88921,                 0.9664,                0.90377,                0.92693,                0.89217,                0.96654,                0.89341,                0.42429,                0.56429,                0.40154,                 0.8361,              0.0015581,              0.0015581,              0.0015581
                     36,                0.45329,                0.60095,                0.39529,                0.86032,                0.92163,                0.91267,                0.96468,                0.90804,                0.92163,                0.91267,                0.96443,                0.89826,                 0.4084,                0.54636,                0.39408,                0.83164,              0.0015548,              0.0015548,              0.0015548
                     37,                 0.4386,                0.58283,                0.39232,                0.85548,                0.92494,                 0.9045,                 0.9659,                0.91411,                0.92859,                0.89887,                0.96596,                0.89271,                0.38541,                0.54097,                 0.3963,                0.82381,              0.0015515,              0.0015515,              0.0015515
                     38,                0.44311,                0.59581,                0.40927,                0.85122,                 0.9378,                0.89582,                0.96312,                 0.8934,                0.93736,                0.89542,                0.96309,                0.87379,                0.43984,                0.56509,                0.40871,                0.84026,              0.0015482,              0.0015482,              0.0015482
                     39,                0.44673,                0.59551,                0.38642,                0.85527,                0.92807,                 0.8916,                0.96236,                0.89941,                0.92662,                0.89201,                0.96198,                0.86814,                0.43517,                0.58377,                0.41705,                0.83749,              0.0015449,              0.0015449,              0.0015449
                     40,                0.44585,                0.58726,                0.39022,                0.85365,                 0.9292,                0.89543,                0.96641,                0.90337,                 0.9292,                0.89543,                0.96659,                0.89254,                0.42673,                 0.5341,                0.39467,                0.83589,              0.0015416,              0.0015416,              0.0015416
                     41,                0.44163,                0.58144,                0.39723,                0.85524,                0.94556,                0.88865,                0.96716,                0.90496,                0.94574,                0.88906,                 0.9676,                0.87526,                0.43388,                0.56177,                0.40283,                0.83945,              0.0015383,              0.0015383,              0.0015383
                     42,                0.44688,                 0.5756,                0.39024,                0.85659,                0.93112,                0.90465,                0.96863,                0.90808,                0.93069,                0.90445,                0.96837,                0.87541,                0.42323,                0.55929,                0.38843,                0.83646,               0.001535,               0.001535,               0.001535
                     43,                0.44005,                 0.5736,                0.38039,                0.85227,                0.90153,                0.89643,                0.95668,                0.90056,                0.89943,                 0.8958,                0.95549,                0.87298,                0.40609,                0.54571,                0.41052,                0.83326,              0.0015317,              0.0015317,              0.0015317
                     44,                0.43263,                0.57886,                0.37303,                0.85323,                0.93764,                0.89964,                0.96469,                    0.9,                0.93658,                 0.8986,                0.96271,                 0.8875,                0.43214,                0.54103,                0.39736,                0.83446,              0.0015284,              0.0015284,              0.0015284
                     45,                0.43816,                0.57282,                0.37499,                0.85147,                0.93361,                0.90465,                0.96836,                0.90882,                0.93363,                0.90444,                0.96825,                0.89886,                0.41997,                0.52936,                0.38789,                0.82939,              0.0015251,              0.0015251,              0.0015251
                     46,                0.44374,                0.57401,                0.38945,                0.85431,                0.93358,                 0.9021,                0.96726,                0.91142,                0.93317,                 0.9017,                 0.9681,                0.89407,                0.39733,                0.54404,                0.40366,                0.82438,              0.0015218,              0.0015218,              0.0015218
                     47,                  0.439,                0.59196,                  0.387,                 0.8546,                0.94588,                0.88409,                0.96365,                0.89907,                0.94533,                0.88423,                0.96374,                0.87725,                0.44024,                 0.5996,                0.41504,                0.83617,              0.0015185,              0.0015185,              0.0015185
                     48,                0.44467,                0.60432,                0.38356,                0.85399,                0.93621,                0.90029,                0.96068,                 0.9025,                0.93577,                0.89989,                0.96043,                0.88138,                0.41116,                0.58313,                0.41822,                0.83212,              0.0015152,              0.0015152,              0.0015152
                     49,                0.44758,                0.58991,                0.37566,                0.85509,                0.94057,                0.89871,                0.96692,                0.90736,                0.94013,                 0.8983,                 0.9668,                0.89222,                0.42317,                0.56903,                0.39837,                  0.832,              0.0015119,              0.0015119,              0.0015119
                     50,                0.45369,                0.58068,                0.38024,                0.85406,                0.94637,                0.87765,                0.96161,                 0.8897,                0.94637,                0.87765,                0.96163,                0.87486,                0.45968,                0.57968,                 0.4031,                0.83632,              0.0015086,              0.0015086,              0.0015086
                     51,                0.46255,                 0.5865,                0.38055,                0.85883,                0.93591,                0.89746,                 0.9652,                0.89917,                0.93526,                0.89683,                0.96474,                0.88908,                  0.448,                0.54516,                0.41136,                0.83905,              0.0015053,              0.0015053,              0.0015053
                     52,                0.43931,                0.56617,                0.37049,                0.85143,                0.92069,                0.90937,                 0.9685,                0.91725,                0.91997,                0.90937,                0.96842,                0.89744,                0.38569,                0.54109,                0.37993,                0.82164,               0.001502,               0.001502,               0.001502
                     53,                0.43561,                0.57247,                0.37526,                0.85037,                0.94366,                0.88208,                0.96101,                0.90446,                0.94322,                0.88167,                0.96044,                0.89459,                0.40531,                0.53646,                 0.3914,                0.83095,              0.0014987,              0.0014987,              0.0014987
                     54,                 0.4307,                0.55566,                0.36997,                0.85196,                0.92911,                0.90598,                0.96158,                0.91215,                0.92868,                0.90557,                0.96145,                0.89851,                0.38237,                0.52486,                 0.4178,                0.82311,              0.0014954,              0.0014954,              0.0014954
                     55,                0.42975,                0.56095,                  0.367,                0.84984,                0.95726,                0.85052,                0.95094,                0.89517,                0.95726,                0.85052,                0.95051,                0.88013,                0.41647,                0.54819,                0.45869,                0.82849,              0.0014921,              0.0014921,              0.0014921
                     56,                0.43464,                0.57627,                 0.3758,                0.84788,                0.91746,                0.91093,                0.95984,                0.90651,                0.91806,                0.91156,                0.95957,                0.90031,                 0.3959,                 0.5205,                0.38118,                0.82643,              0.0014888,              0.0014888,              0.0014888
                     57,                0.41556,                0.54617,                0.36725,                0.84635,                0.94461,                0.88149,                0.96089,                0.90396,                0.94418,                0.88108,                0.96015,                0.89546,                0.41176,                0.53874,                0.40514,                0.83183,              0.0014855,              0.0014855,              0.0014855
                     58,                 0.4278,                0.55268,                0.36958,                0.84843,                0.93359,                 0.8977,                0.96749,                0.91713,                0.93359,                 0.8977,                0.96773,                0.90545,                0.38984,                0.52769,                0.40064,                 0.8249,              0.0014822,              0.0014822,              0.0014822
                     59,                0.41897,                0.54115,                 0.3551,                0.84954,                 0.9319,                0.90425,                0.96847,                0.91297,                0.93147,                0.90384,                0.96832,                0.90164,                0.41326,                0.53854,                0.39168,                0.83125,              0.0014789,              0.0014789,              0.0014789
                     60,                0.45235,                0.58785,                0.37888,                0.85507,                0.93496,                0.89477,                 0.9674,                0.91626,                0.93541,                0.89518,                0.96781,                0.88631,                0.38698,                0.53674,                0.38093,                0.82831,              0.0014756,              0.0014756,              0.0014756
                     61,                0.43075,                0.56507,                0.36724,                0.85037,                0.93707,                0.90158,                 0.9652,                0.90795,                0.93718,                0.90055,                0.96382,                0.89004,                0.41874,                0.56753,                0.38752,                0.82902,              0.0014723,              0.0014723,              0.0014723
                     62,                0.43418,                0.57101,                0.37303,                0.84906,                0.94682,                0.89204,                0.96434,                0.91229,                0.94682,                0.89204,                0.96432,                0.90179,                0.39494,                0.53482,                 0.3835,                0.82455,               0.001469,               0.001469,               0.001469
                     63,                0.43633,                0.56724,                 0.3682,                0.85029,                  0.935,                0.89529,                0.96212,                0.90895,                0.93543,                 0.8957,                0.96266,                0.90119,                0.40638,                 0.5197,                0.38658,                0.82378,              0.0014657,              0.0014657,              0.0014657
                     64,                0.41981,                 0.5441,                0.36366,                0.84965,                0.95691,                0.87109,                0.95458,                0.90044,                  0.958,                0.87213,                 0.9558,                0.88235,                0.40777,                0.56529,                0.40346,                0.82564,              0.0014624,              0.0014624,              0.0014624
                     65,                0.42636,                0.56612,                0.36349,                0.84699,                0.94612,                0.89384,                0.96161,                0.90029,                0.94612,                0.89384,                0.96203,                0.89278,                0.41774,                0.54522,                 0.4008,                0.83012,              0.0014591,              0.0014591,              0.0014591
                     66,                 0.4264,                0.55734,                 0.3756,                0.84706,                0.90472,                0.89237,                0.94911,                0.89291,                0.90515,                0.89278,                0.94955,                0.87819,                0.40628,                0.53593,                 0.4484,                0.83028,              0.0014558,              0.0014558,              0.0014558
                     67,                0.42197,                0.55585,                 0.3669,                0.84725,                0.94643,                0.88675,                0.95455,                0.90612,                0.94643,                0.88675,                0.95438,                0.89185,                 0.3896,                0.51346,                0.40641,                0.82438,              0.0014525,              0.0014525,              0.0014525
                     68,                0.42918,                0.56425,                0.37552,                 0.8488,                0.93535,                  0.899,                0.95922,                0.91055,                0.93427,                0.89796,                0.95871,                0.89773,                0.38697,                0.51416,                0.39242,                0.82418,              0.0014492,              0.0014492,              0.0014492
                     69,                0.42356,                0.55167,                0.36261,                0.84585,                0.92683,                 0.8994,                0.96744,                0.91491,                0.92447,                0.89937,                0.96735,                 0.8994,                0.39758,                0.51803,                0.37877,                0.82595,              0.0014459,              0.0014459,              0.0014459
                     70,                0.41255,                0.53588,                0.35453,                0.84524,                0.94961,                0.88543,                0.96501,                0.91271,                0.93453,                0.89547,                 0.9659,                0.90311,                 0.4074,                0.51851,                0.38041,                0.82914,              0.0014426,              0.0014426,              0.0014426
                     71,                0.41784,                0.53962,                0.35667,                0.84614,                0.92141,                0.91141,                0.96878,                0.91406,                0.92089,                0.91224,                0.96861,                  0.899,                0.40125,                0.52334,                0.37644,                0.83022,              0.0014393,              0.0014393,              0.0014393
                     72,                0.41086,                0.53179,                0.35303,                 0.8448,                0.92558,                0.91224,                0.96719,                 0.9186,                0.92379,                0.91123,                 0.9672,                0.89852,                0.37251,                0.51534,                0.37305,                0.82301,               0.001436,               0.001436,               0.001436
                     73,                0.43156,                 0.5628,                0.36666,                0.85006,                0.94166,                0.89197,                0.96315,                0.90707,                0.94166,                0.89197,                0.96274,                0.87616,                0.40938,                0.55148,                0.38956,                0.82849,              0.0014327,              0.0014327,              0.0014327
                     74,                0.43265,                0.56567,                0.36439,                0.84974,                0.93132,                0.89615,                0.95881,                0.89813,                0.93066,                0.89552,                0.95776,                0.87314,                0.43608,                0.55943,                0.39501,                0.83549,              0.0014294,              0.0014294,              0.0014294
                     75,                0.42321,                 0.5445,                0.36117,                0.84805,                0.94298,                0.89399,                0.96399,                0.90736,                 0.9419,                0.89295,                0.96206,                0.88765,                0.41382,                0.52785,                0.38261,                 0.8327,              0.0014261,              0.0014261,              0.0014261
                     76,                0.41707,                0.53845,                 0.3518,                0.84453,                0.93243,                0.90136,                0.96493,                0.91007,                0.93243,                0.90136,                0.96486,                0.89425,                0.40816,                0.53013,                0.37851,                0.82924,              0.0014228,              0.0014228,              0.0014228
                     77,                0.42355,                0.55189,                0.35979,                0.84488,                0.93962,                0.89966,                0.96409,                0.91092,                  0.939,                0.89965,                 0.9636,                 0.8963,                0.38572,                0.52513,                0.37529,                0.82709,              0.0014195,              0.0014195,              0.0014195
                     78,                0.42109,                0.54417,                0.34846,                0.84549,                0.93854,                0.90067,                0.96386,                 0.9172,                 0.9394,                0.90148,                 0.9647,                0.90687,                0.37192,                0.51913,                0.37293,                0.82328,              0.0014161,              0.0014161,              0.0014161
                     79,                0.42565,                0.55232,                0.35561,                 0.8464,                0.93448,                 0.9005,                0.96784,                0.92088,                0.93491,                0.90091,                0.96829,                0.90982,                0.37957,                0.53138,                0.38145,                0.82349,              0.0014128,              0.0014128,              0.0014128
                     80,                0.41857,                0.53363,                0.34916,                0.84416,                0.93322,                0.90126,                0.96686,                0.92065,                0.93364,                0.90167,                0.96709,                  0.908,                0.37126,                0.51216,                0.36928,                0.82192,              0.0014095,              0.0014095,              0.0014095
                     81,                0.41325,                0.54765,                0.34778,                0.84466,                0.93541,                0.90335,                0.96763,                0.91538,                0.93541,                0.90335,                0.96762,                0.91127,                0.38398,                0.51404,                0.36839,                  0.825,              0.0014062,              0.0014062,              0.0014062
                     82,                0.40218,                0.52485,                0.34148,                0.84098,                0.93411,                0.90996,                0.96599,                0.91843,                0.93411,                0.90996,                0.96588,                0.90432,                0.36963,                0.50965,                0.35975,                0.81904,              0.0014029,              0.0014029,              0.0014029
                     83,                0.40924,                 0.5317,                0.34435,                0.84021,                0.92407,                0.90639,                0.96872,                0.91649,                0.92195,                0.90985,                0.96861,                0.90887,                0.39976,                 0.5057,                0.36966,                0.82807,              0.0013996,              0.0013996,              0.0013996
                     84,                0.42609,                0.53956,                0.35171,                0.84595,                 0.9426,                0.89561,                 0.9602,                0.91252,                0.94308,                0.89591,                0.96046,                0.90772,                 0.3925,                0.50059,                0.38989,                0.82285,              0.0013963,              0.0013963,              0.0013963
                     85,                0.41388,                0.52489,                0.34667,                0.84271,                 0.9347,                0.90192,                0.96558,                   0.92,                0.93512,                0.90232,                0.96668,                0.91159,                0.37849,                0.51649,                0.36021,                0.82445,               0.001393,               0.001393,               0.001393
