                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.46514,                0.65637,                  0.427,                0.86827,                0.92832,                0.89143,                0.96152,                0.89519,                0.92872,                0.89183,                0.96156,                0.87926,                0.41714,                0.56192,                0.42145,                0.83668,              0.0015911,              0.0015911,              0.0015911
                     26,                0.46272,                0.62636,                0.41574,                 0.8678,                0.93413,                0.89873,                0.96339,                0.89962,                0.93413,                0.89873,                0.96355,                0.89143,                0.43896,                0.58126,                0.41278,                 0.8384,              0.0015878,              0.0015878,              0.0015878
                     27,                0.48262,                0.64741,                0.41438,                0.87528,                0.92926,                0.89961,                 0.9617,                0.89158,                0.92779,                0.89816,                0.96107,                  0.869,                0.44825,                0.60904,                 0.4114,                0.84118,              0.0015845,              0.0015845,              0.0015845
                     28,                0.46193,                0.63535,                0.40778,                0.86618,                0.90019,                0.88035,                0.95248,                0.86967,                0.89103,                0.89231,                0.95315,                0.86334,                0.50793,                  0.582,                0.44285,                0.85648,              0.0015812,              0.0015812,              0.0015812
                     29,                 0.4723,                0.62922,                 0.4107,                0.87332,                0.91838,                0.90683,                0.96719,                0.90226,                0.91851,                0.90614,                0.96758,                0.88986,                0.44407,                 0.5569,                0.39454,                0.84481,              0.0015779,              0.0015779,              0.0015779
                     30,                0.46692,                0.62243,                0.40312,                0.86627,                0.94675,                   0.88,                0.95256,                0.89576,                0.94572,                0.87785,                0.95232,                 0.8854,                0.42624,                0.53431,                0.40852,                0.83637,              0.0015746,              0.0015746,              0.0015746
                     31,                  0.453,                0.60943,                0.39668,                0.86492,                0.95225,                0.89007,                 0.9654,                0.90064,                0.95179,                0.88966,                0.96571,                 0.8841,                0.42682,                 0.5747,                0.39484,                0.84046,              0.0015713,              0.0015713,              0.0015713
                     32,                0.45773,                 0.6105,                0.38949,                0.86592,                0.94432,                0.88621,                0.96184,                0.89927,                 0.9428,                0.88476,                0.96187,                0.88387,                0.42277,                0.59158,                0.38872,                0.83545,               0.001568,               0.001568,               0.001568
                     33,                0.47773,                0.62366,                0.40515,                0.87774,                 0.9345,                0.88884,                0.96156,                0.90084,                0.93495,                0.88925,                0.96182,                0.89656,                0.44329,                0.54405,                0.41164,                0.84464,              0.0015647,              0.0015647,              0.0015647
                     34,                0.47236,                 0.6096,                0.41346,                0.87111,                0.89817,                0.84915,                0.94937,                0.89413,                0.89917,                0.84996,                 0.9514,                0.88135,                0.42403,                0.53289,                0.48343,                0.83898,              0.0015614,              0.0015614,              0.0015614
                     35,                0.46225,                0.60315,                0.45766,                0.86899,                0.95045,                0.82547,                0.93677,                0.87771,                0.94995,                0.82506,                0.93644,                0.87092,                0.42587,                0.54495,                0.55981,                0.83904,              0.0015581,              0.0015581,              0.0015581
                     36,                0.44411,                0.59439,                0.39915,                0.86117,                0.92496,                0.89895,                0.95211,                0.88974,                0.92414,                0.89814,                0.95121,                0.88175,                0.42832,                0.53487,                 0.4362,                0.84334,              0.0015548,              0.0015548,              0.0015548
                     37,                0.44209,                0.58312,                0.39102,                0.86218,                0.92376,                0.91422,                 0.9655,                0.90647,                0.92376,                0.91422,                0.96517,                0.89886,                  0.418,                0.53016,                 0.4051,                0.83637,              0.0015515,              0.0015515,              0.0015515
                     38,                0.44975,                0.60989,                0.39665,                0.86357,                  0.935,                0.89549,                0.96542,                0.90932,                0.93495,                0.89752,                0.96623,                0.89163,                0.40596,                0.53948,                  0.385,                0.83895,              0.0015482,              0.0015482,              0.0015482
                     39,                 0.4755,                0.65462,                0.39458,                0.87577,                0.93745,                0.90304,                0.96593,                0.89719,                0.93808,                0.90367,                0.96536,                0.88042,                0.45674,                0.57985,                0.38892,                0.85061,              0.0015449,              0.0015449,              0.0015449
                     40,                0.46835,                0.62097,                0.39682,                0.87177,                0.93421,                0.90685,                0.96558,                0.90884,                0.93421,                0.90685,                0.96552,                0.90685,                0.42625,                0.53555,                0.39181,                0.83211,              0.0015416,              0.0015416,              0.0015416
                     41,                0.44897,                0.58162,                0.38267,                0.86581,                0.94227,                0.89821,                0.96584,                0.91142,                0.94271,                0.89861,                0.96632,                0.90644,                0.42785,                0.53195,                0.41487,                0.83674,              0.0015383,              0.0015383,              0.0015383
                     42,                0.45871,                0.58757,                0.39669,                 0.8652,                0.93848,                0.88125,                0.95929,                0.89425,                0.93848,                0.88125,                0.95943,                0.88934,                0.44627,                0.52838,                0.45365,                0.84299,               0.001535,               0.001535,               0.001535
                     43,                0.45968,                0.60587,                0.39556,                0.87072,                0.91051,                0.91023,                0.96624,                0.90877,                0.91009,                0.90982,                0.96619,                  0.899,                0.41793,                0.52743,                0.38501,                0.83072,              0.0015317,              0.0015317,              0.0015317
                     44,                 0.4464,                 0.6085,                0.38328,                0.86595,                 0.9457,                0.88084,                0.96673,                0.91406,                 0.9457,                0.88084,                0.96655,                0.90206,                0.39444,                0.53984,                0.38566,                0.82414,              0.0015284,              0.0015284,              0.0015284
                     45,                0.44451,                0.58166,                0.38239,                0.85781,                0.93753,                0.89201,                 0.9673,                0.90666,                0.93753,                0.89201,                0.96721,                0.90509,                0.43315,                0.52099,                0.39505,                0.83579,              0.0015251,              0.0015251,              0.0015251
                     46,                0.45201,                0.60424,                0.42346,                0.86692,                0.92006,                0.89577,                0.96288,                0.90245,                0.92006,                0.89577,                 0.9637,                0.89308,                0.42357,                0.53407,                0.39275,                0.83287,              0.0015218,              0.0015218,              0.0015218
                     47,                0.45752,                0.60394,                0.39616,                0.86247,                0.94737,                0.87008,                0.96063,                 0.9061,                0.94899,                0.86903,                 0.9604,                0.88955,                0.38829,                0.53557,                0.39666,                0.82377,              0.0015185,              0.0015185,              0.0015185
                     48,                0.44749,                0.59057,                0.39301,                0.86144,                0.93437,                0.88997,                0.96292,                0.90566,                0.93482,                0.89038,                0.96419,                0.88766,                0.40362,                 0.5383,                   0.38,                0.82968,              0.0015152,              0.0015152,              0.0015152
                     49,                0.43487,                0.57701,                0.37921,                0.85495,                0.93233,                0.90014,                0.96538,                0.91797,                0.93151,                0.90106,                0.96656,                0.89722,                0.37084,                 0.5306,                0.36822,                0.82602,              0.0015119,              0.0015119,              0.0015119
                     50,                0.45344,                0.59139,                0.38814,                 0.8654,                0.93796,                0.89521,                0.96381,                0.91392,                0.93883,                0.89602,                0.96579,                0.89761,                0.37403,                0.51423,                0.38006,                0.82234,              0.0015086,              0.0015086,              0.0015086
                     51,                0.45842,                0.58768,                0.39239,                0.86758,                0.93578,                0.86544,                0.95338,                0.90109,                0.93578,                0.86544,                0.95355,                0.89594,                0.38993,                0.51778,                0.49829,                0.83053,              0.0015053,              0.0015053,              0.0015053
                     52,                0.42706,                0.56374,                0.37678,                0.85735,                0.95301,                0.87749,                0.96043,                0.91007,                0.95301,                0.87749,                0.96076,                0.89976,                0.39808,                0.50197,                0.38571,                0.83143,               0.001502,               0.001502,               0.001502
                     53,                0.43716,                0.57716,                0.37581,                0.85645,                0.92999,                0.90694,                0.96362,                   0.91,                0.93263,                 0.9053,                0.96496,                0.89919,                0.38941,                0.50949,                0.38613,                0.82638,              0.0014987,              0.0014987,              0.0014987
                     54,                0.45827,                 0.5896,                0.38539,                0.86488,                0.94603,                0.89842,                0.96707,                0.90694,                0.94525,                0.89999,                 0.9677,                0.89565,                0.42705,                0.53213,                0.38293,                0.83605,              0.0014954,              0.0014954,              0.0014954
                     55,                0.44895,                0.59334,                 0.3813,                0.86284,                0.93964,                0.89848,                0.96252,                0.91144,                0.93897,                0.89785,                0.96277,                0.90077,                0.39017,                0.50567,                0.38861,                0.82655,              0.0014921,              0.0014921,              0.0014921
                     56,                0.44938,                0.59408,                0.38621,                 0.8592,                0.93675,                  0.889,                0.95409,                0.89124,                0.93781,                0.89004,                0.95515,                0.87901,                0.44569,                0.52915,                0.43645,                 0.8405,              0.0014888,              0.0014888,              0.0014888
                     57,                0.42631,                0.56065,                0.37338,                0.85666,                0.93902,                0.90223,                0.96475,                0.90748,                0.93945,                0.90263,                0.96521,                0.89127,                0.41391,                0.53953,                0.39645,                0.83252,              0.0014855,              0.0014855,              0.0014855
