                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2668,                 3.1011,                 3.7565,                 1.2348,                0.03724,                0.28756,                0.02587,                0.01915,                0.04056,                0.31252,                0.02954,                0.02075,                 0.7548,                  1.545,                    inf,                0.92032,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.1511,                 2.6813,                 3.6416,                 1.1554,                0.08005,                0.65201,                0.15132,                0.12695,                0.08146,                0.66245,                0.15603,                 0.1284,                0.74743,                 1.1884,                    inf,                0.84583,             0.00014973,             0.00014973,             0.00014973
                      3,                0.89567,                 1.5562,                  2.947,                0.92828,                0.08749,                0.71639,                0.33572,                0.25782,                0.08848,                0.72399,                0.33642,                0.23719,                0.94933,                 1.6041,                 3.2107,                0.86756,             0.00023246,             0.00023246,             0.00023246
                      4,                0.88816,                  1.268,                 2.0168,                  0.897,                0.09794,                0.77372,                0.46329,                0.35933,                0.09881,                0.77982,                 0.4635,                0.32853,                0.97463,                 1.6187,                 2.8625,                0.88672,             0.00031485,             0.00031485,             0.00031485
                      5,                0.83253,                 1.1554,                 1.2739,                0.87964,                0.89765,                0.26131,                0.59376,                0.47972,                0.90041,                0.25589,                0.58893,                0.43396,                0.89575,                 1.3365,                 2.4844,                0.86693,             0.00039691,             0.00039691,             0.00039691
                      6,                0.79917,                 1.1328,                0.99557,                0.87714,                0.90753,                0.46825,                0.76988,                0.63582,                0.90626,                0.46743,                0.76645,                0.59112,                0.81898,                 1.1467,                  1.968,                0.84988,             0.00047864,             0.00047864,             0.00047864
                      7,                0.73871,                 1.0779,                0.83036,                0.86998,                0.90815,                0.66253,                0.87158,                0.70793,                0.90773,                0.66212,                0.86687,                0.62267,                0.84603,                  1.139,                 1.6113,                0.86005,             0.00056005,             0.00056005,             0.00056005
                      8,                0.72532,                 1.0307,                0.76107,                0.86395,                0.87924,                0.68423,                0.86962,                0.71406,                0.87856,                0.67646,                 0.8656,                0.65513,                0.79925,                 1.0308,                 1.4606,                0.85177,             0.00064112,             0.00064112,             0.00064112
                      9,                0.71407,                 1.0218,                0.72031,                 0.8613,                0.85692,                0.69341,                0.86117,                0.68796,                0.85853,                0.68761,                0.86037,                0.61227,                0.81685,                 1.0908,                 1.4637,                0.85368,             0.00072186,             0.00072186,             0.00072186
                     10,                0.73885,                 1.0096,                0.69024,                0.86072,                0.85057,                0.67392,                0.82454,                0.65367,                0.84993,                 0.6731,                0.82453,                0.61063,                0.81972,                 1.0518,                 1.6361,                0.85599,             0.00080227,             0.00080227,             0.00080227
