                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0902,                0.36426,                 6.5378,                 0.5613,                0.49616,                0.43863,                0.37043,                 1.0609,                0.55584,                0.76798,             0.00035007,             0.00035007,             0.00035007
                      2,                0.56236,                0.49552,                0.23394,                0.83092,                0.86471,                0.92104,                0.81013,                0.25549,                0.86916,                0.05359,             0.00071539,             0.00071539,             0.00071539
                      3,                0.38086,                 0.4228,                0.09719,                0.88203,                0.83928,                0.91847,                0.81988,                0.26247,                 0.4536,                0.06606,              0.0010793,              0.0010793,              0.0010793
                      4,                0.31565,                0.42366,                0.07353,                0.86167,                 0.7223,                0.79227,                0.70304,                0.47531,                0.42807,                0.14405,              0.0014417,              0.0014417,              0.0014417
                      5,                0.28513,                0.40832,                 0.0633,                0.80351,                0.40704,                0.46066,                 0.4077,                 1.7954,                0.25181,                0.79663,              0.0016538,              0.0016538,              0.0016538
                      6,                0.29057,                0.43611,                 0.0653,                0.87597,                0.86522,                0.93001,                0.81416,                0.27588,                0.43393,                0.05954,              0.0016538,              0.0016538,              0.0016538
                      7,                0.29591,                0.40906,                0.06422,                0.86345,                0.84424,                0.92675,                0.82656,                0.22585,                0.45203,                0.05245,              0.0016505,              0.0016505,              0.0016505
                      8,                0.26995,                0.37894,                0.05809,                0.90703,                0.85007,                0.93942,                0.85302,                0.20521,                0.40341,                0.04376,              0.0016472,              0.0016472,              0.0016472
                      9,                0.25211,                0.36839,                0.05324,                0.91275,                0.87461,                0.95795,                0.88086,                0.17946,                0.38279,                0.03718,              0.0016439,              0.0016439,              0.0016439
                     10,                0.24993,                0.38809,                0.05347,                 0.9027,                0.86862,                0.95629,                0.88051,                0.18115,                0.38841,                0.03874,              0.0016406,              0.0016406,              0.0016406
                     11,                0.24825,                0.38338,                0.04993,                0.88426,                0.89575,                 0.9565,                0.86453,                0.19562,                0.41393,                0.03905,              0.0016373,              0.0016373,              0.0016373
                     12,                0.25362,                0.38097,                0.05244,                0.90022,                0.88926,                0.95791,                0.86484,                0.19785,                0.43212,                 0.0378,               0.001634,               0.001634,               0.001634
                     13,                0.24657,                0.36697,                0.05129,                0.90407,                0.89457,                0.95928,                 0.8502,                0.20933,                 0.4155,                0.04363,              0.0016307,              0.0016307,              0.0016307
                     14,                0.24031,                0.37357,                0.04737,                0.89203,                 0.8965,                 0.9605,                0.89063,                0.16474,                 0.3867,                 0.0311,              0.0016274,              0.0016274,              0.0016274
                     15,                 0.2411,                0.35853,                0.05006,                0.89876,                0.88998,                0.96174,                0.89783,                0.15871,                0.37797,                 0.0325,              0.0016241,              0.0016241,              0.0016241
                     16,                0.23115,                0.42308,                0.04469,                 0.7513,                0.79577,                0.83732,                 0.7511,                0.17797,                 0.6901,                0.03407,              0.0016208,              0.0016208,              0.0016208
                     17,                0.23529,                0.46686,                0.04871,                0.86702,                0.83313,                0.90431,                0.80172,                0.21595,                0.52103,                0.04239,              0.0016175,              0.0016175,              0.0016175
                     18,                0.24537,                0.38416,                0.05366,                0.88714,                0.88126,                0.95019,                0.86614,                0.17458,                0.43361,                0.03366,              0.0016142,              0.0016142,              0.0016142
                     19,                0.26298,                0.41168,                0.06108,                0.88452,                0.85966,                0.93179,                0.83018,                0.22095,                0.49415,                0.05063,              0.0016109,              0.0016109,              0.0016109
                     20,                0.25295,                0.38985,                0.05537,                0.88796,                0.83338,                0.92857,                0.82425,                0.23196,                0.41063,                0.05737,              0.0016076,              0.0016076,              0.0016076
                     21,                0.26256,                0.39245,                0.05566,                0.89144,                0.86816,                0.94473,                0.85947,                0.19697,                0.40672,                0.04284,              0.0016043,              0.0016043,              0.0016043
                     22,                0.23303,                0.37073,                0.04737,                0.90693,                0.88069,                0.95623,                 0.8751,                0.17632,                0.43346,                 0.0389,               0.001601,               0.001601,               0.001601
                     23,                0.22729,                0.37115,                0.04607,                0.88586,                0.89648,                0.96008,                0.88477,                0.17356,                0.39695,                0.03442,              0.0015977,              0.0015977,              0.0015977
                     24,                0.22729,                0.36568,                0.04502,                0.87831,                0.90198,                0.95928,                0.89571,                0.15344,                0.39356,                0.03009,              0.0015944,              0.0015944,              0.0015944
                     25,                0.21612,                0.34952,                0.04461,                0.91028,                 0.8796,                0.95795,                0.87875,                0.18034,                0.39907,                0.03367,              0.0015911,              0.0015911,              0.0015911
                     26,                0.22455,                0.35819,                0.04304,                0.89381,                0.89699,                0.96001,                0.87338,                0.18442,                0.42647,                0.03357,              0.0015878,              0.0015878,              0.0015878
                     27,                0.21964,                0.35237,                0.04473,                0.89356,                 0.8887,                 0.9615,                0.88515,                0.16992,                 0.3919,                0.03208,              0.0015845,              0.0015845,              0.0015845
                     28,                0.21947,                 0.3583,                0.04209,                0.90431,                  0.891,                0.95989,                0.88669,                 0.1652,                0.38813,                0.03141,              0.0015812,              0.0015812,              0.0015812
                     29,                0.22315,                0.36609,                0.04239,                0.90088,                0.89041,                0.96304,                0.89101,                 0.1692,                0.40209,                0.03396,              0.0015779,              0.0015779,              0.0015779
                     30,                 0.2323,                0.36011,                0.04626,                0.91201,                0.88175,                 0.9629,                0.89371,                0.16407,                0.39113,                0.03238,              0.0015746,              0.0015746,              0.0015746
                     31,                0.22297,                0.36184,                0.04178,                0.87217,                 0.9023,                0.96031,                 0.8936,                0.15901,                0.39543,                0.03078,              0.0015713,              0.0015713,              0.0015713
                     32,                0.20595,                0.34835,                0.04022,                0.89578,                0.89115,                0.96068,                0.89438,                0.15508,                0.40204,                0.02905,               0.001568,               0.001568,               0.001568
                     33,                0.20672,                0.35164,                0.03906,                0.90054,                0.87962,                0.96122,                0.88942,                0.16946,                0.39367,                 0.0321,              0.0015647,              0.0015647,              0.0015647
                     34,                0.21002,                0.35439,                0.04222,                0.87884,                0.89944,                0.96205,                0.88861,                0.16948,                0.40548,                0.03406,              0.0015614,              0.0015614,              0.0015614
                     35,                 0.2361,                 0.3753,                0.04879,                 0.9134,                0.87805,                0.96127,                0.87543,                0.18929,                0.40483,                 0.0381,              0.0015581,              0.0015581,              0.0015581
                     36,                0.24615,                0.36602,                0.04763,                0.88003,                0.90047,                0.96015,                0.89048,                0.16438,                0.41262,                0.03363,              0.0015548,              0.0015548,              0.0015548
                     37,                 0.2166,                0.35636,                0.04208,                0.90737,                0.88753,                0.96069,                 0.8904,                0.16316,                0.40767,                0.03248,              0.0015515,              0.0015515,              0.0015515
                     38,                0.20938,                0.34253,                0.04096,                0.90509,                0.88682,                0.96387,                0.89764,                0.15376,                0.38816,                0.02894,              0.0015482,              0.0015482,              0.0015482
                     39,                0.20453,                0.34342,                 0.0398,                0.89881,                0.89436,                0.96491,                0.90238,                0.14582,                 0.3958,                 0.0273,              0.0015449,              0.0015449,              0.0015449
                     40,                0.21722,                0.35111,                0.04247,                0.90629,                0.89145,                0.96366,                0.89415,                0.15589,                0.39939,                0.03159,              0.0015416,              0.0015416,              0.0015416
                     41,                0.21447,                0.35651,                0.04085,                0.89003,                0.89775,                0.96462,                0.89061,                0.15886,                0.45549,                0.03298,              0.0015383,              0.0015383,              0.0015383
                     42,                0.22478,                  0.364,                0.04216,                0.89275,                0.89456,                0.96361,                0.90099,                0.14736,                0.43299,                0.02884,               0.001535,               0.001535,               0.001535
                     43,                0.21321,                0.36531,                 0.0402,                0.90524,                0.89082,                0.96381,                0.89036,                0.16256,                0.45533,                 0.0315,              0.0015317,              0.0015317,              0.0015317
                     44,                0.21378,                0.36148,                0.04389,                0.87624,                0.90385,                0.96107,                0.89929,                0.15496,                0.43251,                 0.0301,              0.0015284,              0.0015284,              0.0015284
                     45,                0.21438,                0.36223,                0.04128,                0.89241,                 0.8903,                0.95982,                0.89875,                0.15077,                0.40126,                0.03022,              0.0015251,              0.0015251,              0.0015251
                     46,                0.21858,                0.35893,                0.04216,                0.90659,                0.88264,                 0.9599,                0.89804,                 0.1565,                0.40135,                0.03096,              0.0015218,              0.0015218,              0.0015218
                     47,                0.21304,                0.36012,                 0.0409,                0.90845,                0.88147,                 0.9604,                0.88739,                0.16009,                0.40375,                0.03144,              0.0015185,              0.0015185,              0.0015185
                     48,                0.20321,                 0.3589,                 0.0394,                 0.8847,                0.88896,                0.95751,                0.88112,                0.17314,                0.42719,                0.03215,              0.0015152,              0.0015152,              0.0015152
                     49,                0.21891,                0.41399,                0.04292,                0.88799,                0.89552,                 0.9568,                0.85478,                0.20905,                0.40665,                0.04315,              0.0015119,              0.0015119,              0.0015119
                     50,                0.22507,                0.39641,                0.04538,                0.90823,                0.87289,                0.94535,                0.84193,                0.21822,                 0.4212,                 0.0457,              0.0015086,              0.0015086,              0.0015086
                     51,                0.21828,                0.38723,                0.04525,                0.88005,                0.86937,                0.94688,                0.86941,                0.18981,                0.45398,                0.04012,              0.0015053,              0.0015053,              0.0015053
                     52,                0.21871,                0.37609,                0.04217,                0.91521,                0.88245,                0.96092,                0.87835,                0.17092,                0.44075,                0.03472,               0.001502,               0.001502,               0.001502
                     53,                0.21204,                0.36689,                0.04149,                0.88199,                  0.889,                0.96118,                0.89255,                0.16276,                0.40922,                0.03189,              0.0014987,              0.0014987,              0.0014987
                     54,                0.20035,                0.34169,                0.03896,                0.88975,                0.89707,                0.96147,                0.90336,                0.15007,                0.40547,                0.02949,              0.0014954,              0.0014954,              0.0014954
                     55,                0.20899,                0.34873,                0.04119,                0.87621,                0.90126,                0.95989,                0.88775,                0.16679,                0.40308,                  0.033,              0.0014921,              0.0014921,              0.0014921
                     56,                0.20023,                 0.3426,                0.03968,                0.89319,                0.89414,                0.96224,                0.90199,                0.15047,                0.37782,                0.02992,              0.0014888,              0.0014888,              0.0014888
                     57,                0.21057,                0.36059,                0.04037,                0.89698,                0.89602,                0.96328,                0.89037,                0.16638,                0.43198,                0.03179,              0.0014855,              0.0014855,              0.0014855
                     58,                0.21031,                0.35358,                0.04101,                0.88643,                0.89339,                0.96062,                 0.9006,                0.14566,                0.39513,                0.02718,              0.0014822,              0.0014822,              0.0014822
                     59,                0.20596,                0.35558,                0.03971,                0.88028,                0.89558,                0.96156,                0.88812,                0.15841,                0.43966,                0.03232,              0.0014789,              0.0014789,              0.0014789
                     60,                0.20609,                0.36417,                 0.0394,                0.90831,                0.89067,                0.96259,                0.90269,                0.14317,                0.38452,                0.02664,              0.0014756,              0.0014756,              0.0014756
                     61,                0.19833,                0.35515,                0.03669,                0.88613,                 0.8902,                0.95884,                0.87081,                0.18511,                0.43202,                0.03433,              0.0014723,              0.0014723,              0.0014723
                     62,                0.20697,                0.35452,                0.03923,                0.89709,                0.88281,                0.96038,                0.89946,                0.15123,                0.40786,                0.02882,               0.001469,               0.001469,               0.001469
                     63,                0.20636,                0.35111,                0.03867,                0.87869,                0.90254,                0.96255,                 0.8925,                0.15326,                0.40215,                0.03048,              0.0014657,              0.0014657,              0.0014657
                     64,                0.19715,                0.34953,                0.03855,                0.90473,                0.88881,                0.96412,                  0.906,                0.14289,                0.37735,                0.02863,              0.0014624,              0.0014624,              0.0014624
                     65,                0.20395,                0.35657,                0.03925,                0.89401,                0.88695,                0.96022,                0.89693,                0.14681,                0.40068,                0.02834,              0.0014591,              0.0014591,              0.0014591
                     66,                 0.1946,                 0.3477,                0.03612,                0.91053,                0.88629,                0.96464,                0.90487,                0.14759,                0.38619,                0.02945,              0.0014558,              0.0014558,              0.0014558
                     67,                0.19514,                0.34219,                0.03886,                0.87606,                0.90453,                0.96349,                0.90667,                0.14606,                0.40879,                0.02785,              0.0014525,              0.0014525,              0.0014525
                     68,                0.20191,                 0.3504,                0.03621,                0.89684,                0.89484,                0.96164,                0.89943,                0.15013,                0.38913,                0.02811,              0.0014492,              0.0014492,              0.0014492
                     69,                0.21105,                0.34991,                0.04113,                0.88367,                0.88187,                0.95352,                0.88813,                0.15384,                0.40119,                0.02976,              0.0014459,              0.0014459,              0.0014459
                     70,                0.20015,                 0.3542,                0.03835,                0.89498,                0.89081,                0.96194,                0.89351,                0.15993,                0.40557,                0.02966,              0.0014426,              0.0014426,              0.0014426
                     71,                 0.1971,                 0.3532,                0.03678,                0.87069,                 0.9081,                0.96201,                0.89299,                0.15122,                0.40648,                0.03066,              0.0014393,              0.0014393,              0.0014393
                     72,                0.19622,                0.35016,                0.03691,                0.89814,                0.90456,                0.96385,                0.89781,                0.15219,                0.38724,                0.02857,               0.001436,               0.001436,               0.001436
                     73,                0.20387,                0.34832,                0.04106,                0.89244,                 0.8942,                 0.9616,                0.88613,                0.15765,                0.40502,                 0.0297,              0.0014327,              0.0014327,              0.0014327
                     74,                0.20756,                0.35331,                0.03972,                 0.8926,                0.88494,                0.95861,                0.87388,                 0.1778,                0.41782,                0.02991,              0.0014294,              0.0014294,              0.0014294
                     75,                0.21281,                0.35583,                0.04124,                0.91011,                0.88197,                0.96234,                0.86558,                0.19051,                0.42842,                0.03458,              0.0014261,              0.0014261,              0.0014261
                     76,                 0.2368,                 0.3719,                0.04458,                0.89876,                 0.8975,                0.96367,                0.89956,                0.14742,                 0.4255,                0.02788,              0.0014228,              0.0014228,              0.0014228
                     77,                0.20327,                0.35755,                0.03696,                0.89806,                0.89744,                0.96334,                 0.8958,                0.15509,                 0.3932,                0.02834,              0.0014195,              0.0014195,              0.0014195
                     78,                0.20437,                0.34248,                0.03941,                0.90385,                0.89482,                0.96229,                0.86769,                0.18482,                0.42771,                0.03136,              0.0014161,              0.0014161,              0.0014161
                     79,                0.19631,                0.35329,                0.03681,                0.88803,                0.88961,                0.96118,                0.89786,                0.15059,                0.40362,                0.02829,              0.0014128,              0.0014128,              0.0014128
                     80,                0.20462,                0.34755,                0.03779,                0.89409,                0.89415,                0.96267,                0.89427,                0.15501,                0.40779,                0.02748,              0.0014095,              0.0014095,              0.0014095
                     81,                0.19398,                0.34576,                0.03679,                0.89301,                0.90042,                0.96491,                0.90617,                0.14297,                 0.3968,                0.02819,              0.0014062,              0.0014062,              0.0014062
                     82,                0.20118,                0.34626,                0.03818,                0.87635,                0.89567,                0.95779,                 0.8869,                0.15863,                0.44678,                 0.0301,              0.0014029,              0.0014029,              0.0014029
                     83,                0.20531,                0.35988,                0.03801,                0.88385,                0.89322,                0.95991,                 0.8969,                0.14811,                0.39715,                0.02678,              0.0013996,              0.0013996,              0.0013996
                     84,                0.20559,                0.34827,                0.03802,                 0.9016,                 0.8841,                0.96254,                0.89349,                0.15516,                 0.4065,                 0.0297,              0.0013963,              0.0013963,              0.0013963
                     85,                0.19424,                0.34749,                0.03738,                0.90308,                0.89395,                0.96406,                0.87901,                0.17807,                0.41979,                0.03279,               0.001393,               0.001393,               0.001393
                     86,                0.20554,                0.35169,                0.03746,                0.89486,                0.89173,                0.96343,                0.87886,                0.17159,                0.40725,                0.03314,              0.0013897,              0.0013897,              0.0013897
