                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58982,                 1.0968,                0.94994,                0.49401,                0.73822,                0.48449,                0.41432,                0.62186,                 2.6635,                0.94644,             0.00055075,             0.00055075,             0.00055075
                      2,                0.57683,                0.69486,                0.94253,                0.12959,                0.38754,                0.14465,                0.11743,                 1.0931,                    inf,                 1.4595,              0.0011042,              0.0011042,              0.0011042
                      3,                 0.6547,                0.83023,                  0.984,                0.09861,                 0.5706,                0.08989,                0.05982,                 1.2851,                    inf,                 1.6016,              0.0016555,              0.0016555,              0.0016555
                      4,                0.77152,                0.87904,                  1.044,                0.72192,                0.63237,                0.72822,                0.59418,                0.81161,                  1.358,                 1.0959,              0.0016571,              0.0016571,              0.0016571
                      5,                0.69162,                0.90225,                   1.01,                0.54645,                0.46541,                0.52359,                0.41999,                0.98597,                 1.8064,                 1.1786,              0.0016571,              0.0016571,              0.0016571
                      6,                0.67861,                0.72852,                 1.0062,                0.88821,                0.85625,                0.92363,                0.78805,                0.72689,                0.77534,                0.98936,              0.0016538,              0.0016538,              0.0016538
                      7,                0.64219,                0.61779,                0.97555,                0.93237,                  0.845,                0.92457,                0.81536,                 0.5923,                0.77284,                0.93082,              0.0016505,              0.0016505,              0.0016505
                      8,                0.58061,                0.55646,                0.94703,                 0.5536,                0.70639,                0.46501,                0.41144,                  0.726,                 1.9961,                 1.0178,              0.0016472,              0.0016472,              0.0016472
                      9,                0.56701,                0.55867,                0.94176,                 0.9154,                0.84989,                 0.9256,                0.84318,                0.52856,                0.61281,                0.90798,              0.0016439,              0.0016439,              0.0016439
                     10,                0.59285,                0.51056,                0.96136,                0.93179,                 0.8222,                 0.9162,                 0.7927,                0.67162,                0.72523,                0.96314,              0.0016406,              0.0016406,              0.0016406
                     11,                0.58692,                0.51387,                0.94556,                0.93863,                0.85192,                 0.9428,                0.85852,                0.49442,                 0.5738,                0.89667,              0.0016373,              0.0016373,              0.0016373
                     12,                0.64886,                0.54267,                0.97202,                0.92636,                0.88185,                0.95143,                0.86676,                0.54407,                0.51424,                0.90783,               0.001634,               0.001634,               0.001634
