                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.16398,                 0.3223,                0.03397,                 0.9166,                0.87726,                0.96218,                0.90403,                0.15456,                0.38453,                0.03361,              0.0015548,              0.0015548,              0.0015548
                     37,                0.15649,                 0.3276,                0.03154,                0.89238,                0.88413,                0.95917,                0.90708,                0.13659,                0.37455,                0.02849,              0.0015515,              0.0015515,              0.0015515
                     38,                0.15495,                0.32953,                0.03084,                0.88518,                0.90145,                0.96183,                0.90613,                0.14105,                0.37514,                0.03014,              0.0015482,              0.0015482,              0.0015482
                     39,                0.14927,                0.32163,                0.02972,                0.86707,                0.91293,                0.96268,                0.91081,                0.13736,                0.37932,                0.02906,              0.0015449,              0.0015449,              0.0015449
                     40,                0.15049,                0.31251,                0.02972,                0.89913,                0.89338,                0.96161,                0.91033,                0.12785,                0.37384,                0.02579,              0.0015416,              0.0015416,              0.0015416
                     41,                0.15966,                0.32818,                0.03139,                0.89788,                0.89751,                0.96282,                0.91199,                0.13636,                0.39059,                0.02985,              0.0015383,              0.0015383,              0.0015383
                     42,                0.15504,                0.32035,                0.03226,                0.89975,                0.89689,                0.96259,                0.90512,                0.14605,                0.40486,                0.02844,               0.001535,               0.001535,               0.001535
                     43,                0.15756,                0.33265,                0.03173,                0.90467,                0.88273,                0.95931,                0.89827,                0.15748,                0.37976,                0.03348,              0.0015317,              0.0015317,              0.0015317
                     44,                 0.1547,                0.32445,                0.03144,                0.90866,                0.87609,                0.96083,                0.90977,                0.14498,                0.38727,                0.03406,              0.0015284,              0.0015284,              0.0015284
                     45,                 0.1468,                0.32451,                0.02933,                 0.9018,                 0.8916,                0.96224,                0.91398,                0.13356,                0.37168,                0.02864,              0.0015251,              0.0015251,              0.0015251
                     46,                0.14873,                 0.3267,                0.02867,                0.91176,                 0.8863,                0.96341,                0.88671,                 0.1655,                0.48217,                0.03003,              0.0015218,              0.0015218,              0.0015218
                     47,                0.14323,                0.33714,                 0.0289,                0.87917,                0.91358,                0.96322,                0.91313,                0.14539,                0.37998,                0.03283,              0.0015185,              0.0015185,              0.0015185
                     48,                0.15096,                0.34336,                0.03035,                0.89911,                0.88224,                0.95823,                0.90553,                0.14676,                0.38621,                0.03326,              0.0015152,              0.0015152,              0.0015152
                     49,                0.14631,                0.32399,                0.02996,                 0.9747,                0.41043,                0.44198,                0.43312,                    nan,                    nan,                    nan,              0.0015119,              0.0015119,              0.0015119
                     50,                 0.1451,                0.31374,                0.03031,                    nan,                0.56032,                0.55746,                0.54325,                    nan,                    nan,                    nan,              0.0015086,              0.0015086,              0.0015086
                     51,                0.14295,                0.31296,                0.02937,                    nan,                0.93502,                0.91138,                0.86705,                    nan,                    nan,                    nan,              0.0015053,              0.0015053,              0.0015053
                     52,                0.14498,                0.32444,                0.02916,                0.89519,                0.89591,                0.96066,                0.90594,                0.13033,                0.38044,                0.02701,               0.001502,               0.001502,               0.001502
                     53,                0.15079,                0.32032,                0.02983,                0.89917,                0.88386,                0.96197,                0.90474,                0.14002,                0.39087,                0.02929,              0.0014987,              0.0014987,              0.0014987
                     54,                0.14289,                0.30922,                0.02954,                0.88926,                0.89927,                0.96339,                0.91064,                0.13376,                0.38489,                0.02718,              0.0014954,              0.0014954,              0.0014954
