                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1578,                 2.4964,                 3.2386,                 1.1727,                0.65478,                0.78461,                0.71973,                0.61857,                 0.6551,                0.78459,                0.72018,                0.60296,                0.66046,                0.88524,                 2.9815,                0.83505,             0.00013336,             0.00013336,             0.00013336
                      2,                0.72908,                 1.1455,                  0.749,                0.89355,                 0.9688,                 0.6835,                0.92233,                0.76679,                0.96808,                0.68309,                0.92073,                0.72279,                0.73685,                0.93986,                    inf,                 0.8511,             0.00028283,             0.00028283,             0.00028283
                      3,                0.68527,                0.99336,                0.56091,                0.86849,                0.71456,                0.89784,                  0.877,                0.75144,                0.71255,                0.89517,                0.87404,                0.70053,                0.62908,                0.98149,                 2.4566,                0.82862,              0.0004317,              0.0004317,              0.0004317
                      4,                0.68807,                0.96625,                0.54216,                0.86298,                0.80025,                0.92069,                0.92312,                0.80062,                0.79898,                0.91907,                0.92076,                0.71317,                0.61388,                 1.1159,                 1.4569,                0.82621,             0.00057998,             0.00057998,             0.00057998
                      5,                0.66296,                 0.9029,                0.50723,                0.85622,                0.71091,                0.87174,                0.75022,                0.64958,                0.70939,                0.86989,                0.74847,                0.60577,                0.64332,                0.86015,                 1.6542,                0.82887,             0.00072767,             0.00072767,             0.00072767
                      6,                0.66075,                0.91087,                0.51609,                0.85399,                0.89136,                0.84228,                0.92161,                0.79494,                0.88753,                0.84424,                0.91976,                0.68625,                0.63792,                 1.1133,                0.67808,                0.83397,             0.00087476,             0.00087476,             0.00087476
                      7,                0.65478,                0.89539,                0.49165,                0.85461,                0.90483,                0.80365,                0.90925,                0.78859,                0.90592,                0.80446,                 0.9095,                0.72308,                0.58858,                 0.8601,                0.69105,                0.82493,              0.0010213,              0.0010213,              0.0010213
                      8,                 0.6655,                0.90581,                0.49568,                0.85472,                0.68619,                0.78794,                0.80989,                0.69239,                0.68564,                0.78752,                0.80837,                0.60275,                0.65194,                 1.1723,                  1.053,                 0.8359,              0.0011672,              0.0011672,              0.0011672
                      9,                0.65706,                0.91215,                0.50427,                0.85201,                0.86683,                0.81405,                0.89923,                0.77861,                  0.826,                0.77215,                0.82883,                0.55269,                0.62329,                 1.9072,                0.65585,                  0.835,              0.0013125,              0.0013125,              0.0013125
                     10,                0.64255,                0.89634,                0.48021,                0.85158,                0.83297,                0.77876,                0.93949,                 0.8156,                0.83191,                0.77901,                0.93863,                0.67047,                 0.6385,                 1.5245,                0.78213,                0.83638,              0.0014572,              0.0014572,              0.0014572
                     11,                0.64616,                0.89241,                0.47394,                0.85092,                 0.8073,                0.81391,                0.93743,                0.82563,                 0.8062,                0.81442,                0.93653,                0.74975,                0.59083,                  1.009,                0.76526,                0.82627,              0.0016013,              0.0016013,              0.0016013
                     12,                0.65856,                0.89197,                0.47768,                0.85283,                0.87929,                0.89686,                0.95203,                0.83187,                0.87706,                0.89459,                0.94834,                 0.7806,                0.62756,                0.87046,                0.60824,                0.82864,              0.0016307,              0.0016307,              0.0016307
                     13,                0.66881,                0.86815,                0.47941,                0.85552,                0.91141,                0.89993,                0.95975,                0.84228,                0.91098,                0.89953,                0.95681,                 0.7836,                0.61861,                0.84594,                0.56351,                0.82577,              0.0016307,              0.0016307,              0.0016307
                     14,                0.63666,                0.85162,                 0.4592,                0.84846,                0.89544,                0.89237,                0.95478,                0.85332,                0.89463,                0.89339,                0.95354,                0.77894,                0.56354,                0.74169,                0.49333,                0.81826,              0.0016274,              0.0016274,              0.0016274
                     15,                0.65333,                0.86814,                0.45249,                0.85182,                0.91997,                0.88867,                0.95766,                0.85575,                0.91913,                0.88786,                0.95389,                0.77646,                0.54582,                0.71131,                0.50582,                0.81904,              0.0016241,              0.0016241,              0.0016241
                     16,                0.65387,                0.86022,                0.45353,                 0.8492,                0.91472,                0.90437,                 0.9618,                0.86729,                0.91431,                0.90397,                0.96076,                0.78533,                0.52122,                0.68946,                0.49364,                0.81566,              0.0016208,              0.0016208,              0.0016208
                     17,                0.64522,                0.84595,                0.44216,                0.85124,                 0.9169,                0.90367,                 0.9614,                0.86715,                0.91605,                  0.902,                0.96016,                0.80322,                0.51244,                0.66692,                0.46595,                0.81431,              0.0016175,              0.0016175,              0.0016175
                     18,                0.60095,                0.79057,                0.42683,                0.84387,                0.90546,                  0.909,                0.96198,                0.83936,                0.90429,                0.90778,                0.96031,                0.79376,                0.62769,                0.72762,                 0.5708,                0.82505,              0.0016142,              0.0016142,              0.0016142
                     19,                0.62046,                0.80883,                0.43231,                0.84306,                0.90275,                0.91768,                0.96212,                0.86526,                0.90235,                0.91727,                0.96123,                0.81874,                0.55424,                0.65378,                0.46498,                0.81641,              0.0016109,              0.0016109,              0.0016109
                     20,                0.61861,                0.79501,                0.43013,                0.84383,                0.91602,                0.90573,                0.96135,                0.83969,                0.91437,                 0.9041,                0.95825,                0.77223,                0.58739,                0.69962,                0.47947,                0.82038,              0.0016076,              0.0016076,              0.0016076
                     21,                0.65129,                0.83634,                0.44104,                0.84976,                0.90182,                0.91041,                0.95826,                0.83904,                0.90964,                0.89767,                0.95469,                0.77708,                0.60626,                0.69365,                0.49102,                0.82393,              0.0016043,              0.0016043,              0.0016043
                     22,                0.64521,                 0.8568,                 0.4523,                0.84934,                 0.9319,                  0.868,                0.95812,                0.84445,                0.93173,                0.86701,                0.95647,                0.77553,                0.57083,                0.69045,                 0.4665,                0.82092,               0.001601,               0.001601,               0.001601
                     23,                0.59995,                0.78354,                0.42671,                0.84317,                0.93307,                0.86788,                0.95498,                0.84058,                0.93305,                0.86424,                0.95284,                0.76456,                0.59258,                0.69556,                0.49477,                0.82063,              0.0015977,              0.0015977,              0.0015977
