                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.50426,                0.69504,                0.51132,                0.84723,                0.92754,                0.90205,                0.95863,                0.90357,                0.92692,                0.90213,                0.95855,                0.87893,                0.42226,                 0.6039,                0.50051,                 0.8118,              0.0015911,              0.0015911,              0.0015911
                     26,                0.48784,                0.67442,                0.49419,                0.84555,                0.91014,                0.91527,                0.96652,                0.90397,                0.91029,                0.91892,                0.96612,                0.88669,                0.43959,                0.58996,                0.48171,                 0.8153,              0.0015878,              0.0015878,              0.0015878
                     27,                0.47238,                0.63975,                0.47835,                0.84278,                0.91407,                0.91565,                0.95871,                0.89605,                0.91431,                0.91665,                0.95812,                0.88285,                0.46576,                0.61403,                0.51445,                0.81817,              0.0015845,              0.0015845,              0.0015845
                     28,                0.50742,                0.64948,                 0.4886,                0.84756,                0.90958,                0.90977,                0.95977,                0.87076,                0.90958,                0.90977,                0.95926,                0.86862,                0.56959,                0.70349,                0.53997,                0.84328,              0.0015812,              0.0015812,              0.0015812
                     29,                0.50989,                0.67808,                   0.49,                0.85116,                0.91278,                0.89593,                0.95685,                0.88154,                0.91236,                0.89552,                0.95654,                0.86813,                0.51147,                0.67172,                0.53268,                0.82804,              0.0015779,              0.0015779,              0.0015779
                     30,                0.50054,                 0.6644,                0.49693,                0.85243,                0.91205,                0.88846,                0.96176,                0.87955,                0.91176,                0.88963,                0.96026,                 0.8709,                0.53229,                0.65146,                0.51476,                0.83163,              0.0015746,              0.0015746,              0.0015746
                     31,                 0.4752,                0.65602,                0.47558,                0.84241,                0.94063,                0.88605,                0.95787,                0.87833,                0.94063,                0.88605,                0.96027,                0.87115,                0.53387,                0.63725,                0.52017,                0.83341,              0.0015713,              0.0015713,              0.0015713
                     32,                0.47002,                 0.6403,                0.46079,                0.84318,                0.92706,                0.89617,                0.96275,                0.88441,                0.92764,                0.89681,                0.96259,                0.88183,                0.51309,                0.61839,                0.49876,                0.83178,               0.001568,               0.001568,               0.001568
                     33,                0.49165,                 0.6378,                0.47034,                0.84797,                0.92798,                0.90576,                0.95679,                0.88394,                0.92756,                0.90536,                0.95634,                0.87261,                0.52697,                 0.6066,                 0.5166,                0.83324,              0.0015647,              0.0015647,              0.0015647
                     34,                 0.4815,                0.63691,                0.46869,                 0.8434,                0.92697,                0.90496,                0.95964,                0.89602,                0.92655,                0.90479,                0.95862,                 0.8812,                0.48376,                0.62662,                0.49824,                0.82474,              0.0015614,              0.0015614,              0.0015614
