                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77955,                 1.3418,                 1.6062,                0.97265,                0.75587,                0.70295,                0.63687,                0.53294,                0.75612,                0.70336,                0.63609,                0.49257,                0.64011,                 1.1226,                    inf,                0.84436,             0.00040008,             0.00040008,             0.00040008
                      2,                 0.6541,                0.95243,                 0.5974,                0.88124,                0.43096,                0.90619,                0.52193,                 0.4463,                 0.4304,                0.90474,                0.51993,                0.39799,                0.57238,                 1.2815,                 4.8438,                0.82724,             0.00081521,             0.00081521,             0.00081521
                      3,                0.70185,                 1.1068,                0.55988,                0.89244,                0.16469,                   0.57,                0.11424,                 0.0934,                0.15356,                0.54528,                0.10658,                0.06988,                    nan,                    nan,                    nan,                    nan,              0.0012287,              0.0012287,              0.0012287
                      4,                0.71192,                 1.2112,                 0.5697,                0.89868,                0.38999,                 0.6736,                0.38323,                0.27682,                0.37008,                0.61799,                0.34717,                0.21112,                 0.7478,                 6.2785,                 3.9649,                0.89115,              0.0016405,              0.0016405,              0.0016405
                      5,                 0.7557,                 1.1962,                0.62397,                0.92171,                0.36652,                0.35137,                0.36535,                0.29723,                0.36852,                0.35988,                0.36619,                0.25686,                 1.1536,                    nan,                    inf,                 3.3347,              0.0016538,              0.0016538,              0.0016538
                      6,                0.69647,                 1.0912,                0.59012,                0.90327,                0.40522,                0.38301,                0.40433,                0.34069,                0.39324,                0.37993,                0.39801,                0.31864,                 1.9616,                 21.604,                 2.2153,                 1.8276,              0.0016538,              0.0016538,              0.0016538
                      7,                0.67445,                0.97906,                0.53451,                0.89726,                0.90984,                0.85229,                 0.9322,                0.80043,                0.90894,                0.85229,                0.93145,                0.72006,                0.68873,                 1.0165,                0.65907,                0.87336,              0.0016505,              0.0016505,              0.0016505
                      8,                0.66714,                0.95829,                0.58439,                0.89441,                0.74365,                0.67568,                0.70083,                0.61966,                0.74307,                0.67487,                0.70062,                0.55473,                0.57504,                0.86323,                 1.0813,                0.83986,              0.0016472,              0.0016472,              0.0016472
                      9,                0.66046,                  0.899,                0.51466,                0.88487,                0.82958,                0.82364,                0.90855,                0.76481,                0.83027,                0.82376,                 0.9069,                0.67694,                0.72138,                 1.0612,                 0.8043,                0.86864,              0.0016439,              0.0016439,              0.0016439
                     10,                0.67817,                0.92704,                0.49872,                0.89112,                0.90982,                0.87384,                0.95025,                0.82774,                0.90895,                0.87303,                0.94741,                0.74056,                0.63707,                0.79897,                0.64848,                0.85002,              0.0016406,              0.0016406,              0.0016406
                     11,                0.67993,                0.89666,                0.50232,                0.88733,                0.88401,                0.88654,                0.93725,                0.82686,                0.88436,                0.88346,                0.93558,                0.73854,                0.54684,                0.84428,                0.62593,                0.83866,              0.0016373,              0.0016373,              0.0016373
