                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.554,                0.96929,                0.96571,                0.92122,                0.84302,                0.83058,                0.92267,                0.78479,                0.84114,                0.82872,                 0.9191,                0.70285,                0.57588,                  1.426,                0.77434,                0.94984,             0.00055238,             0.00055238,             0.00055238
                      2,                0.64489,                 1.0976,                0.85697,                0.96024,                0.65794,                 0.7933,                0.73362,                0.60772,                0.65539,                0.78987,                0.72528,                0.54002,                0.64431,                 1.5232,                 1.2448,                 0.9634,              0.0011059,              0.0011059,              0.0011059
                      3,                0.65998,                 1.3079,                 1.0964,                0.98115,                0.41815,                0.30429,                0.38567,                 0.3204,                0.41534,                0.30244,                0.38286,                0.29057,                0.75961,                 1.4583,                 2.7819,                 1.0596,              0.0016571,              0.0016571,              0.0016571
                      4,                0.76249,                 1.6001,                0.90474,                  1.006,                0.75579,                0.71519,                0.78217,                0.62359,                0.75152,                0.71214,                0.77581,                0.51664,                0.81104,                 2.1896,                 1.1515,                 1.0083,              0.0016571,              0.0016571,              0.0016571
                      5,                0.69394,                 1.5209,                0.93658,                0.98322,                0.79567,                0.72421,                0.80086,                0.71227,                0.80191,                 0.7214,                0.80087,                0.64084,                0.57162,                 1.2438,                 1.3168,                0.90575,              0.0016571,              0.0016571,              0.0016571
                      6,                0.65229,                 1.2397,                0.79362,                0.95919,                0.90199,                0.89814,                0.94431,                0.80195,                0.90159,                0.89773,                0.94502,                0.75862,                0.70927,                 1.0878,                0.77525,                0.95057,              0.0016538,              0.0016538,              0.0016538
                      7,                0.60838,                 1.0895,                  0.723,                0.93998,                0.81626,                0.75269,                0.84255,                0.76601,                0.81671,                0.75292,                0.84172,                0.71645,                0.52943,                  1.051,                0.82303,                 0.8948,              0.0016505,              0.0016505,              0.0016505
                      8,                0.59446,                0.99227,                0.79025,                0.92723,                0.83821,                0.56187,                0.71261,                0.63645,                0.83753,                0.56146,                0.71107,                0.57951,                0.68472,                 1.0741,                 1.3161,                0.95477,              0.0016472,              0.0016472,              0.0016472
                      9,                0.64602,                0.99826,                0.64728,                0.94833,                0.90593,                0.89097,                0.95769,                0.87062,                0.90758,                0.88709,                  0.957,                0.84436,                0.52195,                0.83135,                0.55057,                 0.8887,              0.0016439,              0.0016439,              0.0016439
                     10,                0.57912,                0.87182,                0.56975,                0.92492,                0.91335,                0.89051,                0.95693,                0.87161,                0.91335,                0.89051,                0.95739,                0.82488,                0.51558,                0.88759,                0.58204,                0.88123,              0.0016406,              0.0016406,              0.0016406
                     11,                0.53517,                0.84708,                0.55969,                0.90904,                0.90716,                0.89063,                0.95539,                0.87931,                 0.9071,                0.88992,                0.95575,                0.84362,                0.48025,                0.74837,                0.55272,                0.86509,              0.0016373,              0.0016373,              0.0016373
                     12,                0.54992,                0.79606,                0.54032,                0.90866,                0.89527,                0.87445,                0.93869,                0.86928,                0.89527,                0.87445,                0.93971,                0.84484,                0.44566,                0.67418,                0.57488,                0.86079,               0.001634,               0.001634,               0.001634
                     13,                0.51875,                0.74052,                0.49337,                 0.9016,                0.90795,                0.90435,                0.96243,                0.88775,                0.90938,                0.90579,                 0.9635,                0.88165,                0.49393,                0.63958,                0.45483,                0.86695,              0.0016307,              0.0016307,              0.0016307
                     14,                0.50745,                0.75383,                 0.4798,                 0.8936,                0.85813,                0.84228,                0.92486,                0.86053,                0.85742,                0.84147,                0.92402,                 0.8378,                0.45544,                0.63974,                0.58194,                0.85689,              0.0016274,              0.0016274,              0.0016274
                     15,                0.49712,                0.71193,                0.45471,                0.89282,                0.92183,                0.88559,                0.96266,                0.88661,                0.92137,                0.88519,                0.96209,                0.86371,                0.49736,                0.65954,                0.44369,                0.86332,              0.0016241,              0.0016241,              0.0016241
                     16,                0.50631,                0.71761,                0.46919,                0.89236,                0.92791,                0.88177,                0.96185,                0.89731,                0.92943,                0.88322,                0.96284,                0.88368,                0.46618,                0.61253,                0.44476,                0.85864,              0.0016208,              0.0016208,              0.0016208
                     17,                 0.4871,                0.70264,                0.45245,                0.88925,                0.92837,                0.87815,                0.95608,                 0.8703,                0.92884,                0.87856,                 0.9564,                0.85092,                0.53613,                0.69573,                 0.4735,                0.87615,              0.0016175,              0.0016175,              0.0016175
                     18,                0.48402,                0.69472,                0.45295,                0.88093,                0.93333,                0.88218,                0.95665,                0.89207,                0.93116,                0.88196,                 0.9555,                0.88133,                0.47568,                0.62066,                0.46356,                0.86112,              0.0016142,              0.0016142,              0.0016142
                     19,                0.48091,                0.67306,                 0.4376,                0.88558,                0.92127,                  0.891,                0.95748,                0.89055,                0.92171,                0.89264,                0.95791,                0.86137,                0.45499,                0.64233,                0.43509,                0.86048,              0.0016109,              0.0016109,              0.0016109
                     20,                0.53156,                0.79296,                0.47957,                0.90438,                0.91415,                0.88413,                0.96099,                0.85998,                0.91358,                0.88393,                0.96049,                 0.8455,                0.57288,                0.78525,                0.47058,                0.88633,              0.0016076,              0.0016076,              0.0016076
                     21,                0.51764,                0.75516,                0.45238,                0.90105,                0.92273,                0.89843,                0.96362,                 0.8825,                 0.9236,                0.89925,                 0.9641,                0.86376,                0.52762,                0.70086,                 0.4347,                0.87958,              0.0016043,              0.0016043,              0.0016043
                     22,                0.48496,                0.69677,                0.45244,                0.88975,                 0.9177,                0.90033,                 0.9629,                0.90022,                 0.9177,                0.90033,                0.96319,                0.88142,                0.43022,                 0.6029,                 0.4276,                0.85074,               0.001601,               0.001601,               0.001601
                     23,                0.47459,                0.67542,                0.44486,                0.88044,                0.92681,                0.89242,                 0.9619,                0.88106,                0.92546,                0.89272,                0.96152,                0.86574,                0.50044,                0.65606,                 0.4682,                0.87085,              0.0015977,              0.0015977,              0.0015977
                     24,                0.47506,                 0.6721,                 0.4531,                0.88357,                0.92802,                0.89781,                0.96382,                0.89143,                0.92761,                0.89741,                0.96466,                0.87872,                0.48372,                 0.6252,                0.46335,                0.85956,              0.0015944,              0.0015944,              0.0015944
                     25,                0.47359,                 0.6563,                 0.4279,                0.88109,                0.94058,                0.89877,                0.95974,                0.89853,                 0.9397,                0.89918,                0.96094,                0.88367,                0.41386,                0.59216,                0.44754,                0.83967,              0.0015911,              0.0015911,              0.0015911
                     26,                0.46181,                0.64207,                0.41139,                0.87698,                0.94177,                0.88643,                0.96276,                0.90754,                0.94024,                0.88498,                0.96222,                0.88835,                0.40986,                0.57769,                0.39436,                0.84168,              0.0015878,              0.0015878,              0.0015878
                     27,                0.46981,                0.64587,                0.42357,                0.87956,                0.93501,                0.88364,                 0.9557,                0.89447,                 0.9365,                0.88509,                0.95716,                0.87112,                0.44016,                0.61887,                0.43417,                0.85399,              0.0015845,              0.0015845,              0.0015845
                     28,                0.45118,                0.63118,                0.40867,                0.87542,                 0.9266,                0.89922,                0.96255,                0.88865,                0.92057,                0.90396,                0.96267,                0.88847,                 0.4858,                0.59646,                0.41484,                0.85708,              0.0015812,              0.0015812,              0.0015812
                     29,                0.47495,                0.63484,                 0.4061,                0.88322,                0.92988,                0.90027,                0.96859,                0.90139,                0.92903,                0.89946,                0.96802,                0.90066,                 0.4472,                0.56318,                 0.3975,                0.84605,              0.0015779,              0.0015779,              0.0015779
                     30,                0.46272,                0.61486,                 0.4104,                0.87578,                0.92787,                0.90024,                0.96674,                0.90617,                0.93051,                0.89879,                0.96716,                 0.8926,                0.44197,                0.55182,                0.38892,                0.85153,              0.0015746,              0.0015746,              0.0015746
                     31,                0.45632,                0.61442,                0.40674,                0.87302,                0.92024,                0.88616,                0.95291,                0.88606,                 0.9198,                0.88576,                0.95231,                0.87055,                0.45172,                0.59876,                0.43606,                0.85035,              0.0015713,              0.0015713,              0.0015713
                     32,                0.46754,                  0.629,                0.39702,                0.87612,                0.93384,                 0.8988,                0.96765,                0.90343,                0.93384,                 0.8988,                0.96746,                 0.8824,                0.44687,                0.62283,                0.39733,                0.84821,               0.001568,               0.001568,               0.001568
                     33,                0.45318,                0.60472,                0.40041,                0.87049,                0.90656,                0.91114,                0.96285,                0.90411,                0.90692,                0.91169,                0.96281,                0.89283,                0.44298,                0.55724,                 0.4039,                0.85117,              0.0015647,              0.0015647,              0.0015647
                     34,                0.50072,                0.64016,                0.41108,                0.88984,                0.93296,                0.90149,                0.96441,                0.90863,                0.93211,                0.90214,                0.96528,                0.89323,                0.42083,                0.55361,                0.40566,                0.84655,              0.0015614,              0.0015614,              0.0015614
                     35,                0.45911,                0.61229,                0.39727,                0.87331,                 0.9242,                0.90195,                0.96562,                0.91025,                0.92464,                0.90236,                0.96567,                0.89353,                0.40753,                0.53222,                0.38951,                0.83982,              0.0015581,              0.0015581,              0.0015581
                     36,                0.45647,                0.61375,                0.38896,                0.87056,                0.93074,                0.89982,                0.96506,                0.89892,                0.92989,                0.89901,                0.96477,                 0.8902,                0.46676,                 0.5908,                0.39702,                0.85745,              0.0015548,              0.0015548,              0.0015548
                     37,                0.46663,                0.63225,                0.41108,                0.87321,                0.93082,                0.89837,                0.95863,                0.89914,                0.93039,                0.89796,                0.95821,                0.88913,                0.44756,                0.58419,                0.41479,                 0.8477,              0.0015515,              0.0015515,              0.0015515
                     38,                0.45404,                0.61247,                0.40282,                0.87117,                0.95128,                0.88531,                0.96524,                0.90856,                0.95128,                0.88531,                0.96539,                0.89944,                0.42953,                0.55599,                0.39584,                0.84389,              0.0015482,              0.0015482,              0.0015482
                     39,                0.45093,                0.60798,                0.40128,                0.86838,                0.93163,                0.89074,                0.95894,                0.89224,                0.93206,                0.89114,                0.95849,                0.87466,                0.47373,                0.62806,                0.40668,                0.85605,              0.0015449,              0.0015449,              0.0015449
                     40,                0.46548,                0.61148,                0.41026,                0.87367,                0.93923,                0.88965,                0.96002,                0.90321,                 0.9394,                0.89046,                0.96066,                0.89541,                0.42434,                0.53716,                0.39702,                0.84637,              0.0015416,              0.0015416,              0.0015416
                     41,                0.46532,                0.61684,                0.39817,                0.87696,                0.94058,                0.89066,                0.96547,                0.91174,                0.93942,                0.89121,                0.96553,                0.89287,                0.42115,                0.56845,                0.40278,                0.84681,              0.0015383,              0.0015383,              0.0015383
                     42,                0.44637,                0.60754,                0.38855,                0.86811,                 0.9265,                0.90118,                0.96479,                0.90685,                0.92565,                0.90037,                0.96586,                0.89599,                0.42597,                0.54302,                0.39138,                0.84257,               0.001535,               0.001535,               0.001535
                     43,                0.44435,                0.59587,                0.38663,                0.86661,                0.91452,                0.90999,                0.96734,                0.90581,                0.91309,                0.90854,                0.96618,                0.89006,                0.43375,                0.54176,                0.38531,                0.84374,              0.0015317,              0.0015317,              0.0015317
                     44,                0.44486,                0.59699,                0.38966,                0.86746,                0.93717,                0.89907,                0.96136,                0.90515,                 0.9363,                0.89826,                0.96078,                0.89146,                0.40022,                0.51929,                0.38742,                0.83207,              0.0015284,              0.0015284,              0.0015284
                     45,                0.43019,                0.57736,                0.38137,                  0.859,                0.93112,                0.89932,                0.96872,                0.91197,                0.93242,                0.89422,                0.96894,                0.89921,                0.41494,                0.52712,                0.37191,                0.83916,              0.0015251,              0.0015251,              0.0015251
                     46,                0.42684,                0.57263,                0.37079,                0.86121,                0.95259,                0.88611,                0.96658,                0.91208,                0.94997,                0.88362,                0.96623,                0.89975,                0.40404,                0.53304,                0.37266,                0.83505,              0.0015218,              0.0015218,              0.0015218
                     47,                0.45554,                0.59421,                0.38247,                0.86949,                0.93512,                0.89601,                0.96767,                0.91356,                0.93469,                 0.8956,                 0.9677,                0.90043,                0.41757,                0.53387,                 0.3843,                 0.8344,              0.0015185,              0.0015185,              0.0015185
                     48,                0.46797,                0.61781,                0.41514,                0.87931,                0.94846,                0.88847,                0.96565,                0.88955,                0.94402,                0.89033,                0.96515,                0.86776,                0.49257,                0.61778,                0.40186,                0.86021,              0.0015152,              0.0015152,              0.0015152
                     49,                0.45195,                0.58665,                 0.3908,                0.86961,                 0.9455,                0.88107,                0.95792,                 0.8979,                0.94503,                0.88066,                0.95799,                0.89018,                0.44413,                0.53955,                0.43304,                0.85204,              0.0015119,              0.0015119,              0.0015119
                     50,                0.43752,                0.58065,                0.39555,                0.87027,                0.93159,                 0.8907,                0.96583,                0.90513,                0.93058,                0.88966,                0.96546,                0.89425,                0.44506,                0.55287,                 0.4048,                0.84778,              0.0015086,              0.0015086,              0.0015086
                     51,                0.43005,                0.57734,                0.38255,                0.86223,                0.94043,                0.89264,                0.96899,                0.91493,                0.93999,                0.89223,                0.96859,                0.90065,                0.42027,                0.54204,                0.37062,                0.83667,              0.0015053,              0.0015053,              0.0015053
                     52,                 0.4467,                0.59793,                0.40882,                0.86437,                0.93352,                0.87156,                0.96291,                0.91126,                0.93352,                0.87156,                0.96366,                0.89721,                0.39831,                0.53494,                0.39531,                0.83529,               0.001502,               0.001502,               0.001502
                     53,                0.42761,                 0.5682,                0.38911,                0.86188,                0.94826,                0.87058,                0.95721,                0.90569,                0.94826,                0.87058,                0.95815,                0.88907,                0.41941,                0.54272,                0.42116,                0.83635,              0.0014987,              0.0014987,              0.0014987
                     54,                0.43484,                0.57975,                0.37159,                0.86185,                0.93261,                0.89607,                0.96396,                0.91231,                0.93261,                0.89607,                0.96425,                0.90029,                0.40769,                0.51452,                0.38868,                 0.8357,              0.0014954,              0.0014954,              0.0014954
                     55,                 0.4309,                0.57186,                0.36651,                0.86509,                0.93291,                0.89964,                0.96582,                0.90741,                0.93335,                0.90055,                0.96699,                0.89809,                0.41816,                0.52074,                0.37435,                 0.8416,              0.0014921,              0.0014921,              0.0014921
                     56,                 0.4322,                0.57304,                0.38051,                0.86003,                 0.9261,                  0.904,                0.96744,                0.91194,                 0.9261,                  0.904,                0.96821,                0.89341,                0.40242,                0.52847,                0.37059,                0.83255,              0.0014888,              0.0014888,              0.0014888
                     57,                0.43694,                0.58667,                0.38132,                0.86249,                0.94624,                0.89104,                0.96835,                0.90861,                0.94611,                0.89146,                0.96833,                0.88407,                0.42138,                 0.5524,                0.37164,                0.84173,              0.0014855,              0.0014855,              0.0014855
                     58,                0.45284,                0.60427,                0.38074,                0.86718,                0.92644,                0.90021,                0.96888,                0.92064,                0.92449,                0.90233,                0.96904,                0.89456,                0.37023,                0.53675,                0.36105,                0.82775,              0.0014822,              0.0014822,              0.0014822
