                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.62132,                0.80716,                0.42791,                0.86682,                0.92842,                0.89521,                0.96524,                0.85989,                0.92799,                0.89481,                0.96342,                0.82206,                0.56607,                0.63972,                0.42522,                0.83232,              0.0015911,              0.0015911,              0.0015911
                     26,                0.65403,                 0.8582,                0.42619,                0.87637,                0.90955,                0.86982,                0.94795,                0.83164,                0.90866,                0.86901,                0.94417,                0.76515,                0.54931,                0.66221,                0.47137,                0.83186,              0.0015878,              0.0015878,              0.0015878
                     27,                0.63017,                0.83241,                0.42033,                0.86872,                0.89621,                 0.9068,                0.95849,                0.86706,                0.89738,                0.90613,                0.95731,                0.79465,                0.52356,                0.66803,                0.46404,                0.82919,              0.0015845,              0.0015845,              0.0015845
                     28,                0.62145,                0.81199,                 0.4317,                0.86786,                0.93067,                 0.8954,                0.96416,                0.87882,                0.92983,                0.89459,                 0.9625,                0.82456,                0.50536,                0.62634,                0.44419,                0.82379,              0.0015812,              0.0015812,              0.0015812
                     29,                0.59048,                0.79296,                0.41109,                0.85845,                0.92125,                0.86396,                0.94568,                0.86661,                0.92125,                0.86396,                0.94482,                0.79671,                 0.4916,                0.66039,                0.47239,                0.82063,              0.0015779,              0.0015779,              0.0015779
                     30,                0.65049,                0.87231,                0.42484,                0.86939,                0.92302,                0.89304,                0.96253,                0.88032,                0.92302,                0.89304,                0.96102,                0.81153,                0.48026,                0.67203,                0.39787,                0.81992,              0.0015746,              0.0015746,              0.0015746
                     31,                0.65124,                0.86843,                0.41776,                0.87129,                0.92617,                0.89961,                0.96344,                0.88194,                0.92238,                0.90083,                0.96212,                0.81137,                0.50535,                0.68422,                 0.4062,                0.82206,              0.0015713,              0.0015713,              0.0015713
                     32,                0.60694,                0.78863,                0.40712,                0.86348,                 0.9361,                0.87973,                0.96214,                0.88157,                0.93523,                0.87891,                0.96082,                0.80699,                0.47541,                0.60882,                0.41773,                0.81339,               0.001568,               0.001568,               0.001568
                     33,                0.60607,                0.80027,                0.40402,                0.85824,                0.93366,                0.89832,                 0.9661,                0.87363,                0.93296,                0.89663,                0.96327,                0.80569,                0.53903,                0.64524,                0.40968,                0.82348,              0.0015647,              0.0015647,              0.0015647
                     34,                0.61153,                0.80431,                0.42454,                0.86211,                0.93946,                0.89485,                0.96542,                0.87446,                0.93902,                0.89445,                 0.9624,                0.79496,                0.51683,                0.61773,                0.41334,                0.82644,              0.0015614,              0.0015614,              0.0015614
                     35,                0.59156,                0.77482,                0.40489,                 0.8573,                0.92441,                0.87138,                0.95122,                0.86545,                0.92459,                0.87134,                0.95013,                 0.8026,                0.49114,                0.60056,                0.46083,                 0.8175,              0.0015581,              0.0015581,              0.0015581
                     36,                0.59702,                0.77836,                0.39524,                0.85904,                0.92532,                0.89194,                0.96071,                0.86607,                0.92702,                0.89153,                0.95863,                0.79957,                0.53695,                0.64041,                0.44278,                0.82477,              0.0015548,              0.0015548,              0.0015548
                     37,                0.58501,                0.76602,                0.39465,                0.85823,                0.91327,                 0.8794,                0.95421,                0.86946,                0.91352,                0.87721,                0.95199,                0.78996,                0.49527,                0.60153,                0.45129,                0.81672,              0.0015515,              0.0015515,              0.0015515
                     38,                0.58351,                0.76041,                0.39115,                0.85333,                0.94309,                0.89399,                0.96449,                0.88919,                0.94347,                0.89145,                0.96185,                0.81508,                0.46359,                0.58745,                0.39733,                0.81321,              0.0015482,              0.0015482,              0.0015482
