                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58817,                0.36657,                0.86348,                0.92869,                0.89582,                0.96588,                0.88078,                0.52812,                0.39223,                0.82989,              0.0015548,              0.0015548,              0.0015548
                     37,                0.58424,                0.36469,                 0.8681,                0.93891,                0.90432,                0.96663,                0.89258,                0.47743,                0.40075,                0.81976,              0.0015515,              0.0015515,              0.0015515
                     38,                 0.5864,                0.36191,                 0.8677,                0.94469,                0.89207,                0.96555,                0.89491,                0.46608,                0.37774,                 0.8227,              0.0015482,              0.0015482,              0.0015482
                     39,                0.66177,                0.39626,                0.88351,                0.92468,                0.89957,                0.96568,                0.88158,                0.52153,                 0.3824,                0.82148,              0.0015449,              0.0015449,              0.0015449
                     40,                0.63551,                0.38966,                0.87895,                0.93784,                0.88806,                0.96246,                0.88858,                0.47785,                0.39693,                0.81361,              0.0015416,              0.0015416,              0.0015416
                     41,                0.60685,                0.39665,                0.87649,                0.93278,                0.89809,                0.96642,                0.88586,                0.52356,                0.40737,                0.82389,              0.0015383,              0.0015383,              0.0015383
                     42,                0.57026,                0.35798,                0.86319,                0.92609,                0.90811,                0.96687,                0.87075,                0.53999,                0.40083,                0.82447,               0.001535,               0.001535,               0.001535
                     43,                0.58828,                0.36698,                0.86563,                0.92085,                0.89735,                0.96342,                0.87995,                0.51483,                0.38666,                 0.8217,              0.0015317,              0.0015317,              0.0015317
                     44,                0.57996,                0.37041,                0.86175,                0.94282,                0.87819,                0.95804,                0.88318,                0.47918,                0.40333,                0.81333,              0.0015284,              0.0015284,              0.0015284
                     45,                0.56767,                0.35629,                0.86271,                0.91468,                0.89178,                0.96221,                0.87683,                0.51023,                0.38423,                0.81909,              0.0015251,              0.0015251,              0.0015251
                     46,                0.58399,                0.36001,                0.86318,                0.91533,                0.86808,                0.95752,                0.88175,                0.49022,                0.41657,                0.81594,              0.0015218,              0.0015218,              0.0015218
                     47,                0.58164,                0.35337,                0.86284,                0.93819,                0.88648,                0.96509,                0.89643,                0.44102,                0.36991,                0.81025,              0.0015185,              0.0015185,              0.0015185
                     48,                 0.5894,                0.35782,                0.86368,                0.94044,                0.88809,                0.96476,                 0.8969,                0.45404,                0.35444,                0.80668,              0.0015152,              0.0015152,              0.0015152
                     49,                0.58457,                 0.3643,                 0.8653,                0.93645,                0.89223,                 0.9612,                0.89293,                 0.4494,                0.38854,                0.80854,              0.0015119,              0.0015119,              0.0015119
                     50,                0.57988,                0.36377,                0.86108,                0.95262,                0.87022,                0.96108,                0.88248,                 0.5053,                0.38349,                0.82158,              0.0015086,              0.0015086,              0.0015086
                     51,                0.59016,                0.35194,                0.86652,                 0.9398,                 0.8917,                0.96731,                 0.8859,                0.49851,                0.36527,                0.81909,              0.0015053,              0.0015053,              0.0015053
                     52,                0.59921,                0.35944,                0.86655,                0.94093,                0.89774,                0.96806,                0.85361,                0.63954,                0.39332,                0.84296,               0.001502,               0.001502,               0.001502
                     53,                0.58732,                0.36162,                0.86628,                 0.9361,                0.89781,                0.96607,                0.87037,                0.58264,                0.40555,                0.83013,              0.0014987,              0.0014987,              0.0014987
                     54,                0.59381,                0.36392,                0.86393,                0.92476,                0.91078,                0.96565,                0.89118,                0.47019,                0.39346,                0.81593,              0.0014954,              0.0014954,              0.0014954
                     55,                0.59487,                0.40388,                0.87426,                0.94731,                0.88563,                0.96299,                0.88419,                0.49435,                0.38157,                0.81536,              0.0014921,              0.0014921,              0.0014921
                     56,                0.59231,                0.37766,                0.86869,                0.93238,                0.89801,                0.96622,                0.89994,                0.44294,                0.35923,                 0.8054,              0.0014888,              0.0014888,              0.0014888
                     57,                0.57719,                0.35872,                0.85878,                0.93574,                0.89672,                 0.9658,                0.89813,                0.46385,                0.36605,                0.81347,              0.0014855,              0.0014855,              0.0014855
                     58,                0.59719,                0.36596,                0.86195,                0.93799,                0.90105,                0.96688,                0.89497,                0.48424,                0.35715,                0.81379,              0.0014822,              0.0014822,              0.0014822
                     59,                0.56708,                0.35325,                0.85939,                 0.9303,                 0.9045,                0.96812,                0.88917,                0.50146,                0.37626,                0.81304,              0.0014789,              0.0014789,              0.0014789
                     60,                0.57811,                 0.3557,                0.85848,                0.93678,                0.90377,                0.96739,                0.88385,                0.52408,                0.37211,                0.81892,              0.0014756,              0.0014756,              0.0014756
                     61,                0.57033,                0.35394,                0.85759,                0.94653,                0.88431,                0.96304,                 0.8857,                0.49003,                0.38886,                0.81133,              0.0014723,              0.0014723,              0.0014723
                     62,                0.55122,                0.35363,                0.85457,                0.93431,                0.89611,                0.96694,                0.86446,                0.59266,                0.40174,                0.82582,               0.001469,               0.001469,               0.001469
                     63,                0.57793,                0.36465,                  0.859,                0.94023,                0.89145,                0.96819,                  0.872,                0.55018,                0.39614,                0.81692,              0.0014657,              0.0014657,              0.0014657
                     64,                0.57519,                0.36198,                0.86031,                0.92504,                0.90373,                0.96535,                0.86877,                0.55743,                0.37364,                0.82794,              0.0014624,              0.0014624,              0.0014624
                     65,                0.58771,                0.36245,                0.86583,                0.93913,                0.89485,                0.96666,                0.89258,                0.47687,                0.34734,                0.81137,              0.0014591,              0.0014591,              0.0014591
                     66,                0.56904,                0.35565,                0.85924,                0.93613,                0.90556,                0.96832,                0.89705,                0.47482,                0.35999,                0.81343,              0.0014558,              0.0014558,              0.0014558
                     67,                0.55882,                0.34867,                0.85293,                0.92291,                0.82288,                0.94955,                0.87618,                0.48595,                0.41189,                0.81123,              0.0014525,              0.0014525,              0.0014525
                     68,                0.57346,                 0.3582,                0.85547,                0.93254,                0.89734,                0.96605,                0.89978,                0.43872,                0.35732,                0.81014,              0.0014492,              0.0014492,              0.0014492
                     69,                0.60487,                0.36171,                0.86721,                0.94301,                0.89933,                0.96867,                 0.8978,                0.46529,                0.35545,                0.80978,              0.0014459,              0.0014459,              0.0014459
                     70,                0.58539,                0.35664,                0.86528,                0.94174,                 0.8975,                0.96777,                0.90007,                0.45273,                0.35025,                0.80829,              0.0014426,              0.0014426,              0.0014426
                     71,                0.56085,                0.34924,                0.85467,                0.91874,                0.91839,                0.96688,                0.88993,                0.49105,                0.36538,                0.81505,              0.0014393,              0.0014393,              0.0014393
                     72,                0.59339,                0.37514,                0.86589,                0.92365,                0.91059,                0.96566,                0.87236,                0.55933,                0.40113,                0.82945,               0.001436,               0.001436,               0.001436
                     73,                0.59986,                0.36795,                0.86196,                 0.9232,                  0.902,                 0.9653,                0.87112,                0.55354,                0.38666,                0.83178,              0.0014327,              0.0014327,              0.0014327
                     74,                0.57606,                0.35295,                 0.8568,                0.94656,                0.88927,                 0.9667,                0.89108,                0.48258,                0.36698,                0.81668,              0.0014294,              0.0014294,              0.0014294
                     75,                0.57816,                0.35009,                0.85593,                0.94028,                 0.8955,                0.96487,                0.88771,                0.49153,                0.36094,                0.81553,              0.0014261,              0.0014261,              0.0014261
                     76,                0.57472,                0.35066,                0.85679,                0.94439,                0.88234,                0.96534,                0.89643,                0.45171,                0.36085,                0.80875,              0.0014228,              0.0014228,              0.0014228
                     77,                0.57351,                0.34824,                0.85976,                0.92024,                0.89759,                0.96421,                 0.8872,                0.50323,                0.37282,                0.81918,              0.0014195,              0.0014195,              0.0014195
                     78,                0.58139,                0.35632,                 0.8588,                0.93218,                0.91372,                0.97007,                0.88898,                0.50723,                0.35498,                0.81519,              0.0014161,              0.0014161,              0.0014161
                     79,                0.56332,                0.35993,                0.85759,                0.93414,                0.90762,                0.96951,                0.88415,                0.51575,                0.36615,                0.81974,              0.0014128,              0.0014128,              0.0014128
                     80,                0.56124,                0.33976,                0.85591,                 0.9489,                0.89212,                0.96806,                0.89173,                0.48564,                0.35655,                0.80938,              0.0014095,              0.0014095,              0.0014095
                     81,                0.56195,                0.33921,                0.85567,                0.94343,                0.89503,                0.96819,                0.89357,                0.47756,                0.35232,                0.81108,              0.0014062,              0.0014062,              0.0014062
                     82,                 0.5553,                0.34028,                 0.8545,                0.92195,                0.91192,                0.96773,                0.90494,                0.42334,                0.34009,                0.80049,              0.0014029,              0.0014029,              0.0014029
                     83,                0.56307,                0.35986,                0.85461,                0.94307,                0.89544,                0.96775,                0.90639,                0.42053,                0.34037,                0.80273,              0.0013996,              0.0013996,              0.0013996
                     84,                0.58495,                0.34283,                0.86284,                0.93455,                0.88359,                0.96037,                0.87246,                0.54526,                0.40087,                0.82532,              0.0013963,              0.0013963,              0.0013963
                     85,                0.58262,                0.35143,                0.86495,                0.94415,                0.89623,                0.96497,                0.88753,                0.48854,                0.36123,                0.81404,               0.001393,               0.001393,               0.001393
                     86,                  0.567,                0.35579,                  0.851,                0.92871,                0.90752,                0.96773,                0.89041,                0.48803,                0.36714,                0.81152,              0.0013897,              0.0013897,              0.0013897
                     87,                0.55536,                 0.3406,                0.85173,                0.93391,                0.90469,                0.96775,                0.89481,                 0.4839,                0.35638,                0.81541,              0.0013864,              0.0013864,              0.0013864
                     88,                0.58382,                0.35258,                0.85924,                0.92992,                0.90796,                0.96815,                0.89865,                 0.4482,                0.34694,                0.80763,              0.0013831,              0.0013831,              0.0013831
                     89,                0.55668,                0.33748,                0.85128,                0.93448,                0.90335,                0.96916,                0.90499,                0.42519,                0.34919,                0.80217,              0.0013798,              0.0013798,              0.0013798
                     90,                0.56305,                0.33526,                0.85275,                0.93518,                0.90329,                 0.9655,                0.89952,                0.42733,                0.35601,                0.80839,              0.0013765,              0.0013765,              0.0013765
                     91,                 0.5836,                0.34603,                0.85774,                0.92394,                0.91317,                0.96721,                0.90087,                0.45592,                0.35219,                 0.8085,              0.0013732,              0.0013732,              0.0013732
                     92,                0.57441,                 0.3445,                0.85489,                0.89629,                0.90526,                0.95947,                0.87859,                0.51007,                 0.3979,                0.81835,              0.0013699,              0.0013699,              0.0013699
                     93,                0.58399,                0.34749,                0.86182,                0.93799,                0.89493,                0.96439,                0.88997,                0.48927,                0.35534,                0.81578,              0.0013666,              0.0013666,              0.0013666
                     94,                0.56507,                0.33769,                0.85107,                0.93518,                0.89762,                0.96766,                0.88313,                0.52023,                0.35945,                0.81687,              0.0013633,              0.0013633,              0.0013633
                     95,                0.55146,                0.33205,                0.85393,                0.93261,                0.90263,                0.96701,                 0.8958,                0.45854,                0.35411,                0.80529,                0.00136,                0.00136,                0.00136
                     96,                0.55944,                0.35147,                0.85445,                0.92834,                0.89876,                0.96648,                0.88507,                0.51773,                0.37091,                0.81678,              0.0013567,              0.0013567,              0.0013567
                     97,                0.55489,                0.33558,                 0.8542,                 0.9276,                0.90243,                 0.9661,                0.88238,                 0.4972,                0.36659,                0.81049,              0.0013534,              0.0013534,              0.0013534
                     98,                  0.551,                0.33631,                0.85505,                0.92499,                0.91335,                0.96819,                0.89476,                0.46831,                  0.363,                 0.8059,              0.0013501,              0.0013501,              0.0013501
                     99,                0.54091,                0.33057,                0.84579,                0.94021,                 0.9063,                 0.9687,                0.90476,                0.44023,                0.33893,                0.80062,              0.0013468,              0.0013468,              0.0013468
                    100,                0.55707,                0.33492,                0.85207,                0.93586,                0.90949,                0.96892,                0.90554,                  0.437,                0.33381,                0.80383,              0.0013435,              0.0013435,              0.0013435
                    101,                0.56346,                0.34303,                0.85135,                0.93882,                0.90211,                0.96884,                0.89656,                0.47137,                0.35369,                0.80601,              0.0013402,              0.0013402,              0.0013402
